from, to, param_name, host_spp, param_value, param_ci_low, param_ci_high, source
..., m, a, NA, 0.02, NA, NA, NA
..e, q.l, a, NA, 2.92e-5, NA, NA, Ogden et al. 2004
..e, q.l, b, NA, 2.27, NA, NA, Ogden et al. 2004
e.l, q.n, a, NA, 9.88e-6, NA, NA, Ogden et al. 2005
e.l, q.n, b, NA, 2.55, NA, NA, Ogden et al. 2005
e.n, q.a, a, NA, 6.27e-4, NA, NA, Ogden et al. 2005
e.n, q.a, b, NA, 1.21, NA, NA, Ogden et al. 2005
e.a, r.a, a, NA, 7.7e-4, NA, NA, Ogden et al. 2004
e.a, r.a, b, NA, 1.42, NA, NA, Ogden et al. 2004
r.a, __e, a, NA, 3000, NA, NA, Ogden et al. 2005
q.l, e.l, pref, deer, 0.25, NA, NA, NA
q.n, e.n, pref, deer, 0.25, NA, NA, NA
q.a, e.a, pref, deer, 1, NA, NA, NA
q.l, e.l, pref, squirrel, 0.25, NA, NA, NA
q.n, e.n, pref, squirrel, 1, NA, NA, NA
q.a, e.a, pref, squirrel, 0, NA, NA, NA
q.l, e.l, pref, mouse, 1, NA, NA, NA
q.n, e.n, pref, mouse, 1, NA, NA, NA
q.a, e.a, pref, mouse, 0, NA, NA, NA
q.l, e.l, feed_success, squirrel, 0.17, NA, NA, Levi et al. 2016
q.n, e.n, feed_success, squirrel, 0.17, NA, NA, Levi et al. 2016
q.a, e.a, feed_success, squirrel, 0, NA, NA, NA
q.l, e.l, feed_success, deer, 0.49, NA, NA, Levi et al. 2016
q.n, e.n, feed_success, deer, 0.49, NA, NA, Levi et al. 2016
q.a, e.a, feed_success, deer, 0.49, NA, NA, NA
q.l, e.l, feed_success, mouse, 0.49, NA, NA, Levi et al. 2016
q.n, e.n, feed_success, mouse, 0.49, NA, NA, Levi et al. 2016
q.a, e.a, feed_success, mouse, 0, NA, NA, NA
q.., e.., a, NA, 0.01, NA, NA, NA
