jday,num,stage
14,0,on
15,0,ol
15,-0,oa
31,0,ol
31,0,on
32,-0,oa
45,0,on
46,0,ol
48,-0,oa
59,0,ol
59,0,on
60,-0,oa
73,0,on
75,0,ol
75,-0,oa
91,0,on
92,0,ol
94,-0,oa
98,0,on
98,0,ol
99,0.03,oa
124,0,ol
125,0,on
125,0.08,oa
127,0.02,on
129,0.01,oa
129,0,ol
152,0.05,ol
152,0.1,on
154,0.01,oa
157,0.16,on
157,0.03,ol
160,-0,oa
181,0.29,on
182,0.1,ol
184,-0,oa
186,0.18,on
186,0.05,ol
208,0.08,on
209,-0,oa
209,0.01,ol
211,0.05,on
212,0.28,ol
214,-0,oa
235,0.03,on
235,0.35,ol
235,-0,oa
240,0.1,ol
241,0.03,on
242,-0,oa
263,0.02,on
264,0.04,ol
267,-0,oa
267,0.02,on
268,0.01,ol
293,0.21,oa
293,0.01,on
293,0,ol
301,0,on
301,0,ol
303,0.26,oa
338,0,on
338,0,ol
340,0.39,oa
344,0,on
344,-0,oa
345,0,ol
364,0,on
364,-0,oa
364,0,ol
379,0,on
379,0,ol
380,-0,oa
394,0,ol
394,0,on
396,-0,oa
409,0,on
410,0,ol
411,-0,oa
423,-0,on
424,0,ol
425,-0,oa
438,0,ol
438,-0,on
439,-0,oa
457,-0,on
457,0,ol
460,0.07,oa
463,-0,on
464,0,ol
465,0.04,oa
489,0.02,on
489,0,ol
491,0.12,oa
493,-0,on
494,0,ol
495,0.07,oa
517,0.08,on
517,0.02,ol
518,0.03,oa
522,0.16,on
522,0.1,ol
524,0.01,oa
547,0.15,ol
547,0.18,on
548,0.01,oa
551,0.21,on
551,-0,oa
552,0.15,ol
572,-0,oa
572,0.21,on
573,0.14,ol
576,0.03,ol
576,0.05,on
579,-0,oa
600,0.02,on
600,0.25,ol
600,-0,oa
605,0.06,on
606,0.1,ol
608,-0,oa
629,0.02,on
629,0.04,ol
629,-0,oa
633,0,on
633,0.03,ol
633,0.01,oa
658,0.06,oa
658,0,ol
658,-0,on
668,0,ol
668,-0,on
668,0.27,oa
703,-0,on
704,0,ol
704,0.28,oa
709,0,ol
709,-0,on
710,0.01,oa
729,-0,on
729,0,ol
730,-0,oa
