"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"SOUTH BAYMOUTH","ON"," 45°35'00.000"" N"," 82°01'00.000"" W","181.7 m","6097915","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-8.5","-8.0","-3.5","3.4","9.7","14.1","18.0","17.7","13.4","7.7","2.0","-4.5","5.1","C"
"Standard Deviation","3.0","2.5","2.1","1.6","1.4","1.2","1.3","1.4","1.0","1.7","1.3","3.1","1.1","C"
"Daily Maximum (°C)","-3.8","-3.1","1.3","7.8","14.7","19.2","22.9","22.2","17.5","11.3","5.2","-0.5","9.6","C"
"Daily Minimum (°C)","-13.3","-13.0","-8.3","-1.2","4.6","9.0","13.0","13.2","9.3","4.0","-1.2","-8.6","0.6","C"
"Extreme Maximum (°C)","7.8","8.0","15.0","24.5","29.5","30.0","33.9","32.5","28.3","23.9","17.2","14.0","",""
"Date (yyyy/dd)","1964/23","1979/27","1986/30","1990/25","1980/24","1987/23","1975/31","1988/03","1973/02","1971/02","1956/01","1982/03",""," "
"Extreme Minimum (°C)","-37.0","-36.5","-31.1","-19.5","-4.4","0.0","4.4","-0.6","-3.5","-8.3","-19.0","-33.0","",""
"Date (yyyy/dd)","1982/10","1979/11","1962/02","1982/05","1966/09","1964/02","1972/05","1976/30","1989/27","1969/23","1989/23","1980/24",""," "
"Precipitation"
"Rainfall (mm)","12.8","6.8","35.8","51.3","70.2","60.2","59.0","79.9","89.0","87.6","66.2","25.8","644.3","C"
"Snowfall (cm)","76.1","49.4","27.4","9.1","0.0","0.0","0.0","0.0","0.0","0.2","17.6","66.1","245.9","C"
"Precipitation (mm)","88.9","56.1","63.1","60.4","70.2","60.2","59.0","79.9","89.0","87.8","83.8","91.9","890.1","C"
"Extreme Daily Rainfall (mm)","26.9","17.8","45.5","45.8","37.3","45.0","44.9","63.2","50.4","94.0","47.5","49.5","",""
"Date (yyyy/dd)","1975/10","1957/24","1977/12","1991/15","1973/27","1967/12","1990/08","1959/30","1984/12","1982/06","1966/27","1968/12",""," "
"Extreme Daily Snowfall (cm)","27.9","26.0","25.4","20.0","9.7","0.0","0.0","0.0","0.0","2.5","24.0","35.0","",""
"Date (yyyy/dd)","1967/07","1979/06","1970/26","1987/01","1970/05","1955/01","1955/01","1954/23","1954/01","1969/21","1990/05","1977/08",""," "
"Extreme Daily Precipitation (mm)","27.9","26.0","45.5","45.8","37.3","45.0","44.9","63.2","50.4","94.0","47.5","49.5","",""
"Date (yyyy/dd)","1967/07","1979/06","1977/12","1991/15","1973/27","1967/12","1990/08","1959/30","1984/12","1982/06","1966/27","1968/12",""," "
"Extreme Snow Depth (cm)","39","35","50","25","0","0","0","0","0","0","5","46","",""
"Date (yyyy/dd)","1990/10","1988/09","1989/06","1987/03","1983/27","1983/01","1983/01","1983/01","1983/01","1983/01","1991/04","1989/27",""," "
"Days with Maximum Temperature"
"<= 0 °C","21.6","20.1","11.4","1.5","0.0","0.0","0.0","0.0","0.0","0.0","3.8","15.4","73.8","C"
"> 0 °C","9.4","8.2","19.6","28.6","31.0","30.0","31.0","31.0","30.0","31.0","26.2","15.6","291.5","C"
"> 10 °C","0.0","0.0","0.87","8.8","25.7","29.8","31.0","31.0","29.3","19.2","3.6","0.14","179.5","C"
"> 20 °C","0.0","0.0","0.0","0.27","3.1","11.1","25.3","22.6","6.5","0.09","0.0","0.0","69.0","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.18","0.09","0.0","0.0","0.0","0.0","0.27","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Minimum Temperature"
"> 0 °C","0.68","0.65","3.0","11.4","26.4","29.9","31.0","31.0","28.9","22.7","12.5","2.7","200.9","C"
"<= 2 °C","30.8","28.3","30.3","23.3","8.5","0.91","0.0","0.05","2.6","12.5","21.5","30.0","188.7","C"
"<= 0 °C","30.3","27.7","28.0","18.6","4.6","0.09","0.0","0.05","1.1","8.3","17.5","28.3","164.4","C"
"< -2 °C","27.6","25.6","23.1","10.8","0.78","0.0","0.0","0.0","0.05","2.2","11.3","23.6","125.1","C"
"< -10 °C","18.3","17.5","11.3","1.1","0.0","0.0","0.0","0.0","0.0","0.0","1.5","11.2","60.8","C"
"< -20 °C","7.8","6.4","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.7","19.2","C"
"< - 30 °C","0.82","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18","1.4","C"
"Days with Rainfall"
">= 0.2 mm","2.1","1.7","4.9","9.2","10.3","10.0","8.5","10.4","11.8","12.7","10.0","4.8","96.2","C"
">= 5 mm","0.95","0.55","2.4","3.7","4.2","3.9","3.7","4.6","5.3","5.3","4.4","1.9","40.8","C"
">= 10 mm","0.43","0.18","1.4","1.7","2.3","1.9","2.0","2.8","3.1","2.6","2.4","0.91","21.6","C"
">= 25 mm","0.05","0.0","0.13","0.17","0.59","0.30","0.50","0.64","0.70","0.45","0.32","0.05","3.9","C"
"Days With Snowfall"
">= 0.2 cm","14.4","10.6","6.3","2.1","0.0","0.0","0.0","0.0","0.0","0.14","4.0","12.8","50.4","C"
">= 5 cm","6.1","3.9","1.9","0.83","0.0","0.0","0.0","0.0","0.0","0.0","1.2","5.3","19.3","C"
">= 10 cm","2.4","1.2","0.78","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.36","1.9","6.9","C"
">= 25 cm","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.14","C"
"Days with Precipitation"
">= 0.2 mm","16.1","11.8","10.4","10.9","10.3","10.0","8.5","10.4","11.8","12.8","13.4","16.6","142.9","C"
">= 5 mm","7.1","4.5","4.3","4.5","4.2","3.9","3.7","4.6","5.3","5.3","5.7","7.4","60.4","C"
">= 10 mm","2.8","1.5","2.3","2.0","2.3","1.9","2.0","2.8","3.1","2.6","2.8","2.9","28.8","C"
">= 25 mm","0.10","0.05","0.17","0.17","0.59","0.30","0.50","0.64","0.70","0.45","0.32","0.14","4.1","C"
"Wind"
"Speed (km/h)","16.7","15.1","16.1","15.5","13.6","12.7","12.6","12.7","14.4","15.7","17.5","17.1","15.0","D"
"Most Frequent Direction","NW","NW","NW","NW","NW","NW","NW","NW","NW","NW","NW","NW","NW","D"
"Maximum Hourly Speed (km/h)","69.0","63.0","64.0","60.0","56.0","47.0","58.0","45.0","51.0","56.0","66.0","63.0","69.0",""
"Date (yyyy/dd)","1980/07","1970/05","1985/04","1983/14","1968/27","1963/10","1964/13","1982/27","1977/24","1977/08","1965/26","1987/15","1980/07"," "
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.3","0.0","0.0","0.0","0.0","0.5","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.2","4.9","33.8","32.5","6.8","0.0","0.0","0.0","78.1","C"
"Above 15 °C","0.0","0.0","0.0","0.0","3.3","25.0","98.1","92.7","26.4","0.8","0.0","0.0","246.3","C"
"Above 10 °C","0.0","0.0","0.0","3.0","40.4","127.2","247.5","238.9","116.2","22.1","1.1","0.1","796.3","C"
"Above 5 °C","0.0","0.0","1.3","27.4","149.5","273.5","402.5","393.6","254.1","100.4","19.8","1.0","1623.1","C"
"Above 0 °C","4.4","4.4","25.6","116.8","300.0","423.5","557.5","548.6","403.8","238.7","92.2","18.1","2733.5","C"
"Below 0 °C","269.0","236.0","134.2","15.9","0.0","0.0","0.0","0.0","0.0","0.7","29.2","158.7","843.7","C"
"Below 5 °C","419.6","373.1","265.0","76.4","4.5","0.0","0.0","0.0","0.3","17.5","106.9","296.6","1559.8","C"
"Below 10 °C","574.6","514.6","418.7","202.0","50.4","3.7","0.0","0.3","12.4","94.1","238.1","450.6","2559.5","C"
"Below 15 °C","729.6","656.1","573.7","349.1","168.4","51.5","5.6","9.1","72.7","227.8","387.1","605.6","3836.0","C"
"Below 18 °C","822.6","741.0","666.7","439.0","258.2","121.4","34.2","41.9","143.0","320.1","477.1","698.6","4763.7","C"
"Bright Sunshine"
"Total Hours","74.3","102.1","158.1","192.9","242.7","259.9","296.7","252.5","176.3","127.7","71.5","60.3","2014.8","D"
"Days with measurable","18.8","19.5","23.9","24.7","27.6","28.4","30.0","29.3","25.5","24.8","19.4","15.8","287.7","D"
"% of possible daylight hours","26.2","34.9","42.9","47.6","52.6","55.4","62.5","57.7","46.8","37.6","25.0","22.2","42.6","D"
"Extreme Daily","8.8","10.2","11.9","13.6","14.7","15.5","15.9","14.2","12.7","10.9","10.7","8.4","","C"
"Date (yyyy/dd)","1975/04","1979/27","1991/30","1982/28","1977/29","1982/04","1982/19","1978/04","1991/01","1976/03","1975/04","1977/04",""," "
