"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"HANOVER","ON"," 44°06'59.058"" N"," 81°00'21.042"" W","270.0 m","6113329","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-7.1","-6.7","-1.7","5.4","12.0","16.9","19.5","18.5","14.3","8.3","2.4","-3.8","6.5","A"
"Standard Deviation","2.9","2.9","2.3","1.9","2.1","1.5","1.1","1.3","1.1","1.5","1.7","2.8","0.8","A"
"Daily Maximum (°C)","-3.0","-2.0","3.2","10.9","18.6","23.3","26.0","24.7","20.2","13.3","6.0","-0.2","11.8","A"
"Daily Minimum (°C)","-11.2","-11.4","-6.6","0.0","5.4","10.4","13.0","12.3","8.4","3.3","-1.3","-7.5","1.2","A"
"Extreme Maximum (°C)","14.0","16.0","24.0","30.0","32.0","35.0","35.5","37.0","32.2","26.5","21.0","19.0","",""
"Date (yyyy/dd)","1995/14","2000/26","1990/14","1986/28","1978/26","1994/17","1988/10","1988/02","1973/04","1997/08","1978/05","1982/03",""," "
"Extreme Minimum (°C)","-35.6","-40.0","-31.0","-25.6","-5.6","-2.0","2.2","1.5","-5.0","-8.3","-22.0","-32.5","",""
"Date (yyyy/dd)","1976/18","1979/17","1980/01","1972/07","1973/15","1988/09","1972/05","1989/25","1993/30","1972/19","1995/29","1989/22",""," "
"Precipitation"
"Rainfall (mm)","27.2","24.7","42.3","64.8","78.3","80.4","76.5","95.6","104.8","84.1","69.1","39.3","787.1","B"
"Snowfall (cm)","83.2","46.9","30.1","9.5","0.0","0.0","0.0","0.0","0.0","1.2","28.5","62.2","261.6","B"
"Precipitation (mm)","108.6","71.2","71.6","74.3","78.3","80.4","76.5","95.6","104.8","85.3","97.0","101.8","1045.2","B"
"Extreme Daily Rainfall (mm)","34.9","51.2","35.8","44.5","78.0","60.0","56.2","95.8","68.8","36.8","44.6","50.3","",""
"Date (yyyy/dd)","1998/05","1997/21","1990/11","1991/08","2000/12","2001/21","1981/28","1977/16","1986/10","1972/22","1992/12","1972/30",""," "
"Extreme Daily Snowfall (cm)","33.6","30.5","36.0","25.9","0.0","0.0","0.0","0.0","0.0","17.0","39.5","40.0","",""
"Date (yyyy/dd)","1982/31","1974/06","1985/04","1975/02","1972/01","1972/01","1972/01","1972/01","1972/01","1997/26","1995/08","2000/11",""," "
"Extreme Daily Precipitation (mm)","34.9","53.3","36.0","44.5","78.0","60.0","56.2","95.8","68.8","36.8","44.6","50.3","",""
"Date (yyyy/dd)","1998/05","2001/09","1985/04","1991/08","2000/12","2001/21","1981/28","1977/16","1986/10","1972/22","1992/12","1972/30",""," "
"Extreme Snow Depth (cm)","55","50","34","8","0","0","0","0","0","17","48","36","",""
"Date (yyyy/dd)","1999/13","1994/14","1993/01","1996/04","1983/01","1983/01","1983/01","1983/01","1983/01","1997/27","1995/09","1999/28",""," "
"Days with Maximum Temperature"
"<= 0 °C","22.0","17.7","10.6","1.6","0.0","0.0","0.0","0.0","0.0","0.04","4.5","16.0","72.4","C"
"> 0 °C","9.0","10.5","20.4","28.4","31.0","30.0","31.0","31.0","30.0","31.0","25.5","15.0","292.9","C"
"> 10 °C","0.14","0.21","4.1","14.9","27.8","29.7","31.0","31.0","29.3","20.8","6.8","1.0","196.8","C"
"> 20 °C","0.0","0.0","0.30","2.9","12.5","21.8","28.6","26.9","14.4","3.4","0.14","0.0","110.9","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.52","1.8","3.3","1.4","0.22","0.0","0.0","0.0","7.2","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.04","C"
"Days with Minimum Temperature"
"> 0 °C","0.82","1.1","3.7","12.9","24.5","29.7","31.0","31.0","27.9","21.2","9.9","2.0","195.6","C"
"<= 2 °C","30.7","27.9","29.0","21.2","10.3","1.5","0.0","0.14","4.3","14.1","24.1","30.0","193.4","C"
"<= 0 °C","30.2","27.2","27.3","17.1","6.6","0.32","0.0","0.0","2.1","9.8","20.1","29.0","169.7","C"
"< -2 °C","27.6","24.1","22.0","10.3","1.3","0.0","0.0","0.0","0.29","3.3","11.7","23.3","123.9","C"
"< -10 °C","15.8","14.6","8.6","0.59","0.0","0.0","0.0","0.0","0.0","0.0","1.0","10.0","50.6","C"
"< -20 °C","3.5","4.3","1.2","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.03","1.3","10.3","C"
"< - 30 °C","0.43","0.34","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.88","C"
"Days with Rainfall"
">= 0.2 mm","4.3","4.0","6.9","11.7","12.0","12.1","9.7","12.2","13.7","15.1","11.3","5.5","118.5","A"
">= 5 mm","1.9","1.8","3.0","4.2","4.9","4.7","4.2","5.8","6.4","6.1","4.9","2.5","50.3","A"
">= 10 mm","0.82","0.75","1.6","1.9","2.3","2.7","2.6","3.2","3.4","2.7","2.1","1.2","25.3","A"
">= 25 mm","0.18","0.11","0.21","0.33","0.38","0.59","0.72","0.69","0.71","0.17","0.28","0.17","4.5","A"
"Days With Snowfall"
">= 0.2 cm","15.0","11.0","7.4","2.4","0.0","0.0","0.0","0.0","0.0","0.34","4.8","11.9","52.7","B"
">= 5 cm","5.8","3.7","2.2","0.57","0.0","0.0","0.0","0.0","0.0","0.07","2.1","5.2","19.7","B"
">= 10 cm","2.6","1.0","0.48","0.21","0.0","0.0","0.0","0.0","0.0","0.03","1.1","1.8","7.1","B"
">= 25 cm","0.32","0.07","0.07","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.10","0.04","0.64","B"
"Days with Precipitation"
">= 0.2 mm","18.2","13.9","13.1","13.0","12.0","12.1","9.7","12.2","13.7","15.3","15.3","16.6","165.0","B"
">= 5 mm","7.6","5.4","5.2","4.8","4.9","4.7","4.2","5.8","6.4","6.1","7.0","7.4","69.5","B"
">= 10 mm","3.4","1.8","2.1","2.2","2.3","2.7","2.6","3.2","3.4","2.8","3.2","3.0","32.7","B"
">= 25 mm","0.57","0.25","0.28","0.41","0.38","0.59","0.72","0.69","0.71","0.17","0.41","0.32","5.5","B"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","1.2","3.5","1.6","0.1","0.0","0.0","0.0","6.4","C"
"Above 18 °C","0.0","0.0","0.0","1.4","10.2","35.5","65.2","47.9","14.8","0.6","0.0","0.0","175.5","C"
"Above 15 °C","0.0","0.0","0.4","5.1","29.4","83.5","137.4","113.8","44.4","4.5","0.1","0.0","418.6","C"
"Above 10 °C","0.0","0.0","3.3","21.3","98.7","209.9","288.8","261.0","139.7","35.1","4.4","0.3","1062.5","C"
"Above 5 °C","0.5","0.9","14.4","69.3","221.0","357.0","443.8","415.8","279.4","118.1","27.9","3.7","1952.0","C"
"Above 0 °C","8.0","10.9","53.4","174.2","373.2","507.0","598.8","570.8","429.1","258.5","97.3","19.5","3100.7","C"
"Below 0 °C","228.2","196.7","106.9","12.7","0.0","0.0","0.0","0.0","0.0","0.4","26.2","146.0","717.0","C"
"Below 5 °C","375.7","328.0","222.9","57.8","2.9","0.0","0.0","0.0","0.2","15.0","106.8","285.2","1394.5","C"
"Below 10 °C","530.2","468.3","366.8","159.8","35.6","2.9","0.0","0.1","10.6","87.0","233.3","436.8","2331.3","C"
"Below 15 °C","685.2","609.6","518.9","293.6","121.3","26.5","3.6","7.9","65.3","211.4","379.0","591.5","3513.6","C"
"Below 18 °C","778.2","694.3","611.5","379.9","195.0","68.6","24.4","35.0","125.6","300.5","468.9","684.5","4366.3","C"
