tmean,j_day
-8.5,1
-8.5,2
-8.5,3
-8.5,4
-8.5,5
-8.5,6
-8.5,7
-8.5,8
-8.5,9
-8.5,10
-8.5,11
-8.5,12
-8.5,13
-8.5,14
-8.5,15
-8.5,16
-8.5,17
-8.5,18
-8.5,19
-8.5,20
-8.5,21
-8.5,22
-8.5,23
-8.5,24
-8.5,25
-8.5,26
-8.5,27
-8.5,28
-8.5,29
-8.5,30
-8.5,31
-8,32
-8,33
-8,34
-8,35
-8,36
-8,37
-8,38
-8,39
-8,40
-8,41
-8,42
-8,43
-8,44
-8,45
-8,46
-8,47
-8,48
-8,49
-8,50
-8,51
-8,52
-8,53
-8,54
-8,55
-8,56
-8,57
-8,58
-8,59
-3.5,60
-3.5,61
-3.5,62
-3.5,63
-3.5,64
-3.5,65
-3.5,66
-3.5,67
-3.5,68
-3.5,69
-3.5,70
-3.5,71
-3.5,72
-3.5,73
-3.5,74
-3.5,75
-3.5,76
-3.5,77
-3.5,78
-3.5,79
-3.5,80
-3.5,81
-3.5,82
-3.5,83
-3.5,84
-3.5,85
-3.5,86
-3.5,87
-3.5,88
-3.5,89
-3.5,90
3.4,91
3.4,92
3.4,93
3.4,94
3.4,95
3.4,96
3.4,97
3.4,98
3.4,99
3.4,100
3.4,101
3.4,102
3.4,103
3.4,104
3.4,105
3.4,106
3.4,107
3.4,108
3.4,109
3.4,110
3.4,111
3.4,112
3.4,113
3.4,114
3.4,115
3.4,116
3.4,117
3.4,118
3.4,119
3.4,120
9.7,121
9.7,122
9.7,123
9.7,124
9.7,125
9.7,126
9.7,127
9.7,128
9.7,129
9.7,130
9.7,131
9.7,132
9.7,133
9.7,134
9.7,135
9.7,136
9.7,137
9.7,138
9.7,139
9.7,140
9.7,141
9.7,142
9.7,143
9.7,144
9.7,145
9.7,146
9.7,147
9.7,148
9.7,149
9.7,150
9.7,151
14.1,152
14.1,153
14.1,154
14.1,155
14.1,156
14.1,157
14.1,158
14.1,159
14.1,160
14.1,161
14.1,162
14.1,163
14.1,164
14.1,165
14.1,166
14.1,167
14.1,168
14.1,169
14.1,170
14.1,171
14.1,172
14.1,173
14.1,174
14.1,175
14.1,176
14.1,177
14.1,178
14.1,179
14.1,180
14.1,181
18,182
18,183
18,184
18,185
18,186
18,187
18,188
18,189
18,190
18,191
18,192
18,193
18,194
18,195
18,196
18,197
18,198
18,199
18,200
18,201
18,202
18,203
18,204
18,205
18,206
18,207
18,208
18,209
18,210
18,211
18,212
17.7,213
17.7,214
17.7,215
17.7,216
17.7,217
17.7,218
17.7,219
17.7,220
17.7,221
17.7,222
17.7,223
17.7,224
17.7,225
17.7,226
17.7,227
17.7,228
17.7,229
17.7,230
17.7,231
17.7,232
17.7,233
17.7,234
17.7,235
17.7,236
17.7,237
17.7,238
17.7,239
17.7,240
17.7,241
17.7,242
17.7,243
13.4,244
13.4,245
13.4,246
13.4,247
13.4,248
13.4,249
13.4,250
13.4,251
13.4,252
13.4,253
13.4,254
13.4,255
13.4,256
13.4,257
13.4,258
13.4,259
13.4,260
13.4,261
13.4,262
13.4,263
13.4,264
13.4,265
13.4,266
13.4,267
13.4,268
13.4,269
13.4,270
13.4,271
13.4,272
13.4,273
7.7,274
7.7,275
7.7,276
7.7,277
7.7,278
7.7,279
7.7,280
7.7,281
7.7,282
7.7,283
7.7,284
7.7,285
7.7,286
7.7,287
7.7,288
7.7,289
7.7,290
7.7,291
7.7,292
7.7,293
7.7,294
7.7,295
7.7,296
7.7,297
7.7,298
7.7,299
7.7,300
7.7,301
7.7,302
7.7,303
7.7,304
2,305
2,306
2,307
2,308
2,309
2,310
2,311
2,312
2,313
2,314
2,315
2,316
2,317
2,318
2,319
2,320
2,321
2,322
2,323
2,324
2,325
2,326
2,327
2,328
2,329
2,330
2,331
2,332
2,333
2,334
-4.5,335
-4.5,336
-4.5,337
-4.5,338
-4.5,339
-4.5,340
-4.5,341
-4.5,342
-4.5,343
-4.5,344
-4.5,345
-4.5,346
-4.5,347
-4.5,348
-4.5,349
-4.5,350
-4.5,351
-4.5,352
-4.5,353
-4.5,354
-4.5,355
-4.5,356
-4.5,357
-4.5,358
-4.5,359
-4.5,360
-4.5,361
-4.5,362
-4.5,363
-4.5,364
-4.5,365
-8.5,366
-8.5,367
-8.5,368
-8.5,369
-8.5,370
-8.5,371
-8.5,372
-8.5,373
-8.5,374
-8.5,375
-8.5,376
-8.5,377
-8.5,378
-8.5,379
-8.5,380
-8.5,381
-8.5,382
-8.5,383
-8.5,384
-8.5,385
-8.5,386
-8.5,387
-8.5,388
-8.5,389
-8.5,390
-8.5,391
-8.5,392
-8.5,393
-8.5,394
-8.5,395
-8.5,396
-8,397
-8,398
-8,399
-8,400
-8,401
-8,402
-8,403
-8,404
-8,405
-8,406
-8,407
-8,408
-8,409
-8,410
-8,411
-8,412
-8,413
-8,414
-8,415
-8,416
-8,417
-8,418
-8,419
-8,420
-8,421
-8,422
-8,423
-8,424
-3.5,425
-3.5,426
-3.5,427
-3.5,428
-3.5,429
-3.5,430
-3.5,431
-3.5,432
-3.5,433
-3.5,434
-3.5,435
-3.5,436
-3.5,437
-3.5,438
-3.5,439
-3.5,440
-3.5,441
-3.5,442
-3.5,443
-3.5,444
-3.5,445
-3.5,446
-3.5,447
-3.5,448
-3.5,449
-3.5,450
-3.5,451
-3.5,452
-3.5,453
-3.5,454
-3.5,455
3.4,456
3.4,457
3.4,458
3.4,459
3.4,460
3.4,461
3.4,462
3.4,463
3.4,464
3.4,465
3.4,466
3.4,467
3.4,468
3.4,469
3.4,470
3.4,471
3.4,472
3.4,473
3.4,474
3.4,475
3.4,476
3.4,477
3.4,478
3.4,479
3.4,480
3.4,481
3.4,482
3.4,483
3.4,484
3.4,485
9.7,486
9.7,487
9.7,488
9.7,489
9.7,490
9.7,491
9.7,492
9.7,493
9.7,494
9.7,495
9.7,496
9.7,497
9.7,498
9.7,499
9.7,500
9.7,501
9.7,502
9.7,503
9.7,504
9.7,505
9.7,506
9.7,507
9.7,508
9.7,509
9.7,510
9.7,511
9.7,512
9.7,513
9.7,514
9.7,515
9.7,516
14.1,517
14.1,518
14.1,519
14.1,520
14.1,521
14.1,522
14.1,523
14.1,524
14.1,525
14.1,526
14.1,527
14.1,528
14.1,529
14.1,530
14.1,531
14.1,532
14.1,533
14.1,534
14.1,535
14.1,536
14.1,537
14.1,538
14.1,539
14.1,540
14.1,541
14.1,542
14.1,543
14.1,544
14.1,545
14.1,546
18,547
18,548
18,549
18,550
18,551
18,552
18,553
18,554
18,555
18,556
18,557
18,558
18,559
18,560
18,561
18,562
18,563
18,564
18,565
18,566
18,567
18,568
18,569
18,570
18,571
18,572
18,573
18,574
18,575
18,576
18,577
17.7,578
17.7,579
17.7,580
17.7,581
17.7,582
17.7,583
17.7,584
17.7,585
17.7,586
17.7,587
17.7,588
17.7,589
17.7,590
17.7,591
17.7,592
17.7,593
17.7,594
17.7,595
17.7,596
17.7,597
17.7,598
17.7,599
17.7,600
17.7,601
17.7,602
17.7,603
17.7,604
17.7,605
17.7,606
17.7,607
17.7,608
13.4,609
13.4,610
13.4,611
13.4,612
13.4,613
13.4,614
13.4,615
13.4,616
13.4,617
13.4,618
13.4,619
13.4,620
13.4,621
13.4,622
13.4,623
13.4,624
13.4,625
13.4,626
13.4,627
13.4,628
13.4,629
13.4,630
13.4,631
13.4,632
13.4,633
13.4,634
13.4,635
13.4,636
13.4,637
13.4,638
7.7,639
7.7,640
7.7,641
7.7,642
7.7,643
7.7,644
7.7,645
7.7,646
7.7,647
7.7,648
7.7,649
7.7,650
7.7,651
7.7,652
7.7,653
7.7,654
7.7,655
7.7,656
7.7,657
7.7,658
7.7,659
7.7,660
7.7,661
7.7,662
7.7,663
7.7,664
7.7,665
7.7,666
7.7,667
7.7,668
7.7,669
2,670
2,671
2,672
2,673
2,674
2,675
2,676
2,677
2,678
2,679
2,680
2,681
2,682
2,683
2,684
2,685
2,686
2,687
2,688
2,689
2,690
2,691
2,692
2,693
2,694
2,695
2,696
2,697
2,698
2,699
-4.5,700
-4.5,701
-4.5,702
-4.5,703
-4.5,704
-4.5,705
-4.5,706
-4.5,707
-4.5,708
-4.5,709
-4.5,710
-4.5,711
-4.5,712
-4.5,713
-4.5,714
-4.5,715
-4.5,716
-4.5,717
-4.5,718
-4.5,719
-4.5,720
-4.5,721
-4.5,722
-4.5,723
-4.5,724
-4.5,725
-4.5,726
-4.5,727
-4.5,728
-4.5,729
-4.5,730
-8.5,731
-8.5,732
-8.5,733
-8.5,734
-8.5,735
-8.5,736
-8.5,737
-8.5,738
-8.5,739
-8.5,740
-8.5,741
-8.5,742
-8.5,743
-8.5,744
-8.5,745
-8.5,746
-8.5,747
-8.5,748
-8.5,749
-8.5,750
-8.5,751
-8.5,752
-8.5,753
-8.5,754
-8.5,755
-8.5,756
-8.5,757
-8.5,758
-8.5,759
-8.5,760
-8.5,761
-8,762
-8,763
-8,764
-8,765
-8,766
-8,767
-8,768
-8,769
-8,770
-8,771
-8,772
-8,773
-8,774
-8,775
-8,776
-8,777
-8,778
-8,779
-8,780
-8,781
-8,782
-8,783
-8,784
-8,785
-8,786
-8,787
-8,788
-8,789
-3.5,790
-3.5,791
-3.5,792
-3.5,793
-3.5,794
-3.5,795
