value,j_day,pred,pred_subcategory
-0,1,temp,NA
-0,2,temp,NA
-0,3,temp,NA
-0,4,temp,NA
-0,5,temp,NA
-0,6,temp,NA
-0,7,temp,NA
-0,8,temp,NA
-0,9,temp,NA
-0,10,temp,NA
-0,11,temp,NA
-0,12,temp,NA
-0,13,temp,NA
-0,14,temp,NA
-0,15,temp,NA
-0,16,temp,NA
-0,17,temp,NA
-0,18,temp,NA
-0,19,temp,NA
-0,20,temp,NA
-0,21,temp,NA
-0,22,temp,NA
-0,23,temp,NA
-0,24,temp,NA
-0,25,temp,NA
-0,26,temp,NA
-0,27,temp,NA
-0,28,temp,NA
-0,29,temp,NA
-0,30,temp,NA
-0,31,temp,NA
-0,32,temp,NA
-0,33,temp,NA
-0,34,temp,NA
-0,35,temp,NA
-0,36,temp,NA
-0,37,temp,NA
-0,38,temp,NA
-0,39,temp,NA
-0,40,temp,NA
-0,41,temp,NA
-0,42,temp,NA
-0,43,temp,NA
-0,44,temp,NA
-0,45,temp,NA
-0,46,temp,NA
-0,47,temp,NA
-0,48,temp,NA
-0,49,temp,NA
-0,50,temp,NA
-0,51,temp,NA
-0,52,temp,NA
-0,53,temp,NA
-0,54,temp,NA
-0,55,temp,NA
-0,56,temp,NA
-0,57,temp,NA
-0,58,temp,NA
-0,59,temp,NA
0.26,60,temp,NA
0.26,61,temp,NA
0.26,62,temp,NA
0.26,63,temp,NA
0.26,64,temp,NA
0.26,65,temp,NA
0.26,66,temp,NA
0.26,67,temp,NA
0.26,68,temp,NA
0.26,69,temp,NA
0.26,70,temp,NA
0.26,71,temp,NA
0.26,72,temp,NA
0.26,73,temp,NA
0.26,74,temp,NA
0.26,75,temp,NA
0.26,76,temp,NA
0.26,77,temp,NA
0.26,78,temp,NA
0.26,79,temp,NA
0.26,80,temp,NA
0.26,81,temp,NA
0.26,82,temp,NA
0.26,83,temp,NA
0.26,84,temp,NA
0.26,85,temp,NA
0.26,86,temp,NA
0.26,87,temp,NA
0.26,88,temp,NA
0.26,89,temp,NA
0.26,90,temp,NA
6.23,91,temp,NA
6.23,92,temp,NA
6.23,93,temp,NA
6.23,94,temp,NA
6.23,95,temp,NA
6.23,96,temp,NA
6.23,97,temp,NA
6.23,98,temp,NA
6.23,99,temp,NA
6.23,100,temp,NA
6.23,101,temp,NA
6.23,102,temp,NA
6.23,103,temp,NA
6.23,104,temp,NA
6.23,105,temp,NA
6.23,106,temp,NA
6.23,107,temp,NA
6.23,108,temp,NA
6.23,109,temp,NA
6.23,110,temp,NA
6.23,111,temp,NA
6.23,112,temp,NA
6.23,113,temp,NA
6.23,114,temp,NA
6.23,115,temp,NA
6.23,116,temp,NA
6.23,117,temp,NA
6.23,118,temp,NA
6.23,119,temp,NA
6.23,120,temp,NA
12.54,121,temp,NA
12.54,122,temp,NA
12.54,123,temp,NA
12.54,124,temp,NA
12.54,125,temp,NA
12.54,126,temp,NA
12.54,127,temp,NA
12.54,128,temp,NA
12.54,129,temp,NA
12.54,130,temp,NA
12.54,131,temp,NA
12.54,132,temp,NA
12.54,133,temp,NA
12.54,134,temp,NA
12.54,135,temp,NA
12.54,136,temp,NA
12.54,137,temp,NA
12.54,138,temp,NA
12.54,139,temp,NA
12.54,140,temp,NA
12.54,141,temp,NA
12.54,142,temp,NA
12.54,143,temp,NA
12.54,144,temp,NA
12.54,145,temp,NA
12.54,146,temp,NA
12.54,147,temp,NA
12.54,148,temp,NA
12.54,149,temp,NA
12.54,150,temp,NA
12.54,151,temp,NA
17.72,152,temp,NA
17.72,153,temp,NA
17.72,154,temp,NA
17.72,155,temp,NA
17.72,156,temp,NA
17.72,157,temp,NA
17.72,158,temp,NA
17.72,159,temp,NA
17.72,160,temp,NA
17.72,161,temp,NA
17.72,162,temp,NA
17.72,163,temp,NA
17.72,164,temp,NA
17.72,165,temp,NA
17.72,166,temp,NA
17.72,167,temp,NA
17.72,168,temp,NA
17.72,169,temp,NA
17.72,170,temp,NA
17.72,171,temp,NA
17.72,172,temp,NA
17.72,173,temp,NA
17.72,174,temp,NA
17.72,175,temp,NA
17.72,176,temp,NA
17.72,177,temp,NA
17.72,178,temp,NA
17.72,179,temp,NA
17.72,180,temp,NA
17.72,181,temp,NA
20.79,182,temp,NA
20.79,183,temp,NA
20.79,184,temp,NA
20.79,185,temp,NA
20.79,186,temp,NA
20.79,187,temp,NA
20.79,188,temp,NA
20.79,189,temp,NA
20.79,190,temp,NA
20.79,191,temp,NA
20.79,192,temp,NA
20.79,193,temp,NA
20.79,194,temp,NA
20.79,195,temp,NA
20.79,196,temp,NA
20.79,197,temp,NA
20.79,198,temp,NA
20.79,199,temp,NA
20.79,200,temp,NA
20.79,201,temp,NA
20.79,202,temp,NA
20.79,203,temp,NA
20.79,204,temp,NA
20.79,205,temp,NA
20.79,206,temp,NA
20.79,207,temp,NA
20.79,208,temp,NA
20.79,209,temp,NA
20.79,210,temp,NA
20.79,211,temp,NA
20.79,212,temp,NA
20.09,213,temp,NA
20.09,214,temp,NA
20.09,215,temp,NA
20.09,216,temp,NA
20.09,217,temp,NA
20.09,218,temp,NA
20.09,219,temp,NA
20.09,220,temp,NA
20.09,221,temp,NA
20.09,222,temp,NA
20.09,223,temp,NA
20.09,224,temp,NA
20.09,225,temp,NA
20.09,226,temp,NA
20.09,227,temp,NA
20.09,228,temp,NA
20.09,229,temp,NA
20.09,230,temp,NA
20.09,231,temp,NA
20.09,232,temp,NA
20.09,233,temp,NA
20.09,234,temp,NA
20.09,235,temp,NA
20.09,236,temp,NA
20.09,237,temp,NA
20.09,238,temp,NA
20.09,239,temp,NA
20.09,240,temp,NA
20.09,241,temp,NA
20.09,242,temp,NA
20.09,243,temp,NA
16.23,244,temp,NA
16.23,245,temp,NA
16.23,246,temp,NA
16.23,247,temp,NA
16.23,248,temp,NA
16.23,249,temp,NA
16.23,250,temp,NA
16.23,251,temp,NA
16.23,252,temp,NA
16.23,253,temp,NA
16.23,254,temp,NA
16.23,255,temp,NA
16.23,256,temp,NA
16.23,257,temp,NA
16.23,258,temp,NA
16.23,259,temp,NA
16.23,260,temp,NA
16.23,261,temp,NA
16.23,262,temp,NA
16.23,263,temp,NA
16.23,264,temp,NA
16.23,265,temp,NA
16.23,266,temp,NA
16.23,267,temp,NA
16.23,268,temp,NA
16.23,269,temp,NA
16.23,270,temp,NA
16.23,271,temp,NA
16.23,272,temp,NA
16.23,273,temp,NA
9.82,274,temp,NA
9.82,275,temp,NA
9.82,276,temp,NA
9.82,277,temp,NA
9.82,278,temp,NA
9.82,279,temp,NA
9.82,280,temp,NA
9.82,281,temp,NA
9.82,282,temp,NA
9.82,283,temp,NA
9.82,284,temp,NA
9.82,285,temp,NA
9.82,286,temp,NA
9.82,287,temp,NA
9.82,288,temp,NA
9.82,289,temp,NA
9.82,290,temp,NA
9.82,291,temp,NA
9.82,292,temp,NA
9.82,293,temp,NA
9.82,294,temp,NA
9.82,295,temp,NA
9.82,296,temp,NA
9.82,297,temp,NA
9.82,298,temp,NA
9.82,299,temp,NA
9.82,300,temp,NA
9.82,301,temp,NA
9.82,302,temp,NA
9.82,303,temp,NA
9.82,304,temp,NA
4.21,305,temp,NA
4.21,306,temp,NA
4.21,307,temp,NA
4.21,308,temp,NA
4.21,309,temp,NA
4.21,310,temp,NA
4.21,311,temp,NA
4.21,312,temp,NA
4.21,313,temp,NA
4.21,314,temp,NA
4.21,315,temp,NA
4.21,316,temp,NA
4.21,317,temp,NA
4.21,318,temp,NA
4.21,319,temp,NA
4.21,320,temp,NA
4.21,321,temp,NA
4.21,322,temp,NA
4.21,323,temp,NA
4.21,324,temp,NA
4.21,325,temp,NA
4.21,326,temp,NA
4.21,327,temp,NA
4.21,328,temp,NA
4.21,329,temp,NA
4.21,330,temp,NA
4.21,331,temp,NA
4.21,332,temp,NA
4.21,333,temp,NA
4.21,334,temp,NA
-0,335,temp,NA
-0,336,temp,NA
-0,337,temp,NA
-0,338,temp,NA
-0,339,temp,NA
-0,340,temp,NA
-0,341,temp,NA
-0,342,temp,NA
-0,343,temp,NA
-0,344,temp,NA
-0,345,temp,NA
-0,346,temp,NA
-0,347,temp,NA
-0,348,temp,NA
-0,349,temp,NA
-0,350,temp,NA
-0,351,temp,NA
-0,352,temp,NA
-0,353,temp,NA
-0,354,temp,NA
-0,355,temp,NA
-0,356,temp,NA
-0,357,temp,NA
-0,358,temp,NA
-0,359,temp,NA
-0,360,temp,NA
-0,361,temp,NA
-0,362,temp,NA
-0,363,temp,NA
-0,364,temp,NA
-0,365,temp,NA
-0,366,temp,NA
-0,367,temp,NA
-0,368,temp,NA
-0,369,temp,NA
-0,370,temp,NA
-0,371,temp,NA
-0,372,temp,NA
-0,373,temp,NA
-0,374,temp,NA
-0,375,temp,NA
-0,376,temp,NA
-0,377,temp,NA
-0,378,temp,NA
-0,379,temp,NA
-0,380,temp,NA
-0,381,temp,NA
-0,382,temp,NA
