"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-01","1982","01","01","","-24.5","","-34.5","","-29.5","","47.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-02","1982","01","02","","-25.0","","-32.5","","-28.8","","46.8","","0.0","","0.0","","1.0","","1.0","","9","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-03","1982","01","03","","-25.5","","-32.0","","-28.8","","46.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-04","1982","01","04","","-30.0","","-36.0","","-33.0","","51.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-05","1982","01","05","","-24.0","","-39.0","","-31.5","","49.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-06","1982","01","06","","-15.0","","-38.0","","-26.5","","44.5","","0.0","","0.0","","3.0","","3.0","","10","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-07","1982","01","07","","-27.0","","-29.0","","-28.0","","46.0","","0.0","","0.0","","4.0","","4.0","","13","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-08","1982","01","08","","-22.0","","-30.0","","-26.0","","44.0","","0.0","","0.0","","3.0","","3.0","","17","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-09","1982","01","09","","-22.0","","-28.0","","-25.0","","43.0","","0.0","","0.0","","2.0","","2.0","","20","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-10","1982","01","10","","-22.0","","-28.0","","-25.0","","43.0","","0.0","","0.0","","4.0","","4.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-11","1982","01","11","","-18.0","","-27.0","","-22.5","","40.5","","0.0","","0.0","","4.0","","4.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-12","1982","01","12","","-11.0","","-22.0","","-16.5","","34.5","","0.0","","0.0","","3.0","","3.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-13","1982","01","13","","4.0","","-27.0","","-11.5","","29.5","","0.0","","0.0","","1.0","","1.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-14","1982","01","14","","-17.0","","-19.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-15","1982","01","15","","-25.0","","-28.5","","-26.8","","44.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-16","1982","01","16","","-16.0","","-31.0","","-23.5","","41.5","","0.0","","0.0","","6.2","","6.2","","22","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-17","1982","01","17","","-15.0","","-30.0","","-22.5","","40.5","","0.0","","0.0","","1.2","","1.2","","27","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-18","1982","01","18","","-25.0","","-26.0","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-19","1982","01","19","","-24.0","","-42.0","","-33.0","","51.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-20","1982","01","20","","-27.0","","-41.0","","-34.0","","52.0","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-21","1982","01","21","","-28.0","","-41.0","","-34.5","","52.5","","0.0","","0.0","","1.0","","1.0","","25","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-22","1982","01","22","","-25.0","","-40.0","","-32.5","","50.5","","0.0","","0.0","","2.0","","2.0","","26","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-23","1982","01","23","","-26.0","","-30.0","","-28.0","","46.0","","0.0","","0.0","","5.0","","5.0","","27","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-24","1982","01","24","","-4.0","","-31.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-25","1982","01","25","","0.0","","-27.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-26","1982","01","26","","-9.0","","-11.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-27","1982","01","27","","-20.0","","-27.0","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-28","1982","01","28","","-16.0","","-27.0","","-21.5","","39.5","","0.0","","0.0","","6.0","","6.0","","23","","","","",""
"-112.87","53.68","ELK ISLAND NAT PARK","3012275","1982-01-29","1982","01","29","","-22.0","","-26.0","","-24.0","","42.0","","0.0","","0.0","","5.0","","5.0","","34","","","","",""
