pred,pred_subcategory,j_day,value,true_j_day
host_den,moose,NA,0.18,NA
max_temp,NA,1,9.5,156
snow_cover,NA,1,0,156
max_temp,NA,2,8,157
snow_cover,NA,2,0,157
max_temp,NA,3,15.5,158
snow_cover,NA,3,0,158
max_temp,NA,4,18,159
snow_cover,NA,4,0,159
max_temp,NA,5,19,160
snow_cover,NA,5,0,160
max_temp,NA,6,19.5,161
snow_cover,NA,6,0,161
max_temp,NA,7,26,162
snow_cover,NA,7,0,162
max_temp,NA,8,28.5,163
snow_cover,NA,8,0,163
max_temp,NA,9,30,164
snow_cover,NA,9,0,164
max_temp,NA,10,25.5,165
snow_cover,NA,10,0,165
max_temp,NA,11,24,166
snow_cover,NA,11,0,166
max_temp,NA,12,23,167
snow_cover,NA,12,0,167
max_temp,NA,13,23,168
snow_cover,NA,13,0,168
max_temp,NA,14,26.5,169
snow_cover,NA,14,0,169
max_temp,NA,15,27,170
snow_cover,NA,15,0,170
max_temp,NA,16,29.5,171
snow_cover,NA,16,0,171
max_temp,NA,17,31.5,172
snow_cover,NA,17,0,172
max_temp,NA,18,24.5,173
snow_cover,NA,18,0,173
max_temp,NA,19,20.5,174
snow_cover,NA,19,0,174
max_temp,NA,20,19,175
snow_cover,NA,20,0,175
max_temp,NA,21,22,176
snow_cover,NA,21,0,176
max_temp,NA,22,24,177
snow_cover,NA,22,0,177
max_temp,NA,23,18.5,178
snow_cover,NA,23,0,178
max_temp,NA,24,23,179
snow_cover,NA,24,0,179
max_temp,NA,25,23,180
snow_cover,NA,25,0,180
max_temp,NA,26,20,181
snow_cover,NA,26,0,181
max_temp,NA,27,25,182
snow_cover,NA,27,0,182
max_temp,NA,28,16,183
snow_cover,NA,28,0,183
max_temp,NA,29,16.5,184
snow_cover,NA,29,0,184
max_temp,NA,30,15,185
snow_cover,NA,30,0,185
max_temp,NA,31,19.5,186
snow_cover,NA,31,0,186
max_temp,NA,32,20.5,187
snow_cover,NA,32,0,187
max_temp,NA,33,22.5,188
snow_cover,NA,33,0,188
max_temp,NA,34,19,189
snow_cover,NA,34,0,189
max_temp,NA,35,23,190
snow_cover,NA,35,0,190
max_temp,NA,36,25.5,191
snow_cover,NA,36,0,191
max_temp,NA,37,26,192
snow_cover,NA,37,0,192
max_temp,NA,38,24,193
snow_cover,NA,38,0,193
max_temp,NA,39,26,194
snow_cover,NA,39,0,194
max_temp,NA,40,19.5,195
snow_cover,NA,40,0,195
max_temp,NA,41,17,196
snow_cover,NA,41,0,196
max_temp,NA,42,20,197
snow_cover,NA,42,0,197
max_temp,NA,43,22,198
snow_cover,NA,43,0,198
max_temp,NA,44,21.5,199
snow_cover,NA,44,0,199
max_temp,NA,45,19,200
snow_cover,NA,45,0,200
max_temp,NA,46,15.5,201
snow_cover,NA,46,0,201
max_temp,NA,47,21,202
snow_cover,NA,47,0,202
max_temp,NA,48,15,203
snow_cover,NA,48,0,203
max_temp,NA,49,21.5,204
snow_cover,NA,49,0,204
max_temp,NA,50,22.5,205
snow_cover,NA,50,0,205
max_temp,NA,51,24,206
snow_cover,NA,51,0,206
max_temp,NA,52,24.5,207
snow_cover,NA,52,0,207
max_temp,NA,53,25.5,208
snow_cover,NA,53,0,208
max_temp,NA,54,23.5,209
snow_cover,NA,54,0,209
max_temp,NA,55,28.5,210
snow_cover,NA,55,0,210
max_temp,NA,56,28,211
snow_cover,NA,56,0,211
max_temp,NA,57,25.5,212
snow_cover,NA,57,0,212
max_temp,NA,58,23.5,213
snow_cover,NA,58,0,213
max_temp,NA,59,16,214
snow_cover,NA,59,0,214
max_temp,NA,60,12,215
snow_cover,NA,60,0,215
max_temp,NA,61,22,216
snow_cover,NA,61,0,216
max_temp,NA,62,23,217
snow_cover,NA,62,0,217
max_temp,NA,63,22,218
snow_cover,NA,63,0,218
max_temp,NA,64,22,219
snow_cover,NA,64,0,219
max_temp,NA,65,23,220
snow_cover,NA,65,0,220
max_temp,NA,66,23.5,221
snow_cover,NA,66,0,221
max_temp,NA,67,26.5,222
snow_cover,NA,67,0,222
max_temp,NA,68,18,223
snow_cover,NA,68,0,223
max_temp,NA,69,19,224
snow_cover,NA,69,0,224
max_temp,NA,70,20,225
snow_cover,NA,70,0,225
max_temp,NA,71,11.5,226
snow_cover,NA,71,0,226
max_temp,NA,72,14,227
snow_cover,NA,72,0,227
max_temp,NA,73,20.5,228
snow_cover,NA,73,0,228
max_temp,NA,74,23.5,229
snow_cover,NA,74,0,229
max_temp,NA,75,22,230
snow_cover,NA,75,0,230
max_temp,NA,76,21,231
snow_cover,NA,76,0,231
max_temp,NA,77,24,232
snow_cover,NA,77,0,232
max_temp,NA,78,22.5,233
snow_cover,NA,78,0,233
max_temp,NA,79,18.5,234
snow_cover,NA,79,0,234
max_temp,NA,80,19.5,235
snow_cover,NA,80,0,235
max_temp,NA,81,17.5,236
snow_cover,NA,81,0,236
max_temp,NA,82,10.5,237
snow_cover,NA,82,0,237
max_temp,NA,83,11.5,238
snow_cover,NA,83,0,238
max_temp,NA,84,14.5,239
snow_cover,NA,84,0,239
max_temp,NA,85,15,240
snow_cover,NA,85,0,240
max_temp,NA,86,11,241
snow_cover,NA,86,0,241
max_temp,NA,87,10,242
snow_cover,NA,87,0,242
max_temp,NA,88,17.5,243
snow_cover,NA,88,0,243
max_temp,NA,89,17,244
snow_cover,NA,89,0,244
max_temp,NA,90,24.5,245
snow_cover,NA,90,0,245
max_temp,NA,91,23,246
snow_cover,NA,91,0,246
max_temp,NA,92,9.5,247
snow_cover,NA,92,0,247
max_temp,NA,93,12,248
snow_cover,NA,93,0,248
max_temp,NA,94,21,249
snow_cover,NA,94,0,249
max_temp,NA,95,23.5,250
snow_cover,NA,95,0,250
max_temp,NA,96,21,251
snow_cover,NA,96,0,251
max_temp,NA,97,22.5,252
snow_cover,NA,97,0,252
max_temp,NA,98,14,253
snow_cover,NA,98,0,253
max_temp,NA,99,13,254
snow_cover,NA,99,0,254
max_temp,NA,100,7,255
snow_cover,NA,100,0,255
max_temp,NA,101,10.5,256
snow_cover,NA,101,0,256
max_temp,NA,102,14,257
