j_day,host_spp,host_den
1,deer,20
1,rodent,200
2,deer,20
2,rodent,200
3,deer,20
3,rodent,200
4,deer,20
4,rodent,200
5,deer,20
5,rodent,200
6,deer,20
6,rodent,200
7,deer,20
7,rodent,200
8,deer,20
8,rodent,200
9,deer,20
9,rodent,200
10,deer,20
10,rodent,200
11,deer,20
11,rodent,200
12,deer,20
12,rodent,200
13,deer,20
13,rodent,200
14,deer,20
14,rodent,200
15,deer,20
15,rodent,200
16,deer,20
16,rodent,200
17,deer,20
17,rodent,200
18,deer,20
18,rodent,200
19,deer,20
19,rodent,200
20,deer,20
20,rodent,200
21,deer,20
21,rodent,200
22,deer,20
22,rodent,200
23,deer,20
23,rodent,200
24,deer,20
24,rodent,200
25,deer,20
25,rodent,200
26,deer,20
26,rodent,200
27,deer,20
27,rodent,200
28,deer,20
28,rodent,200
29,deer,20
29,rodent,200
30,deer,20
30,rodent,200
31,deer,20
31,rodent,200
32,deer,20
32,rodent,200
33,deer,20
33,rodent,200
34,deer,20
34,rodent,200
35,deer,20
35,rodent,200
36,deer,20
36,rodent,200
37,deer,20
37,rodent,200
38,deer,20
38,rodent,200
39,deer,20
39,rodent,200
40,deer,20
40,rodent,200
41,deer,20
41,rodent,200
42,deer,20
42,rodent,200
43,deer,20
43,rodent,200
44,deer,20
44,rodent,200
45,deer,20
45,rodent,200
46,deer,20
46,rodent,200
47,deer,20
47,rodent,200
48,deer,20
48,rodent,200
49,deer,20
49,rodent,200
50,deer,20
50,rodent,200
51,deer,20
51,rodent,200
52,deer,20
52,rodent,200
53,deer,20
53,rodent,200
54,deer,20
54,rodent,200
55,deer,20
55,rodent,200
56,deer,20
56,rodent,200
57,deer,20
57,rodent,200
58,deer,20
58,rodent,200
59,deer,20
59,rodent,200
60,deer,20
60,rodent,200
61,deer,20
61,rodent,200
62,deer,20
62,rodent,200
63,deer,20
63,rodent,200
64,deer,20
64,rodent,200
65,deer,20
65,rodent,200
66,deer,20
66,rodent,200
67,deer,20
67,rodent,200
68,deer,20
68,rodent,200
69,deer,20
69,rodent,200
70,deer,20
70,rodent,200
71,deer,20
71,rodent,200
72,deer,20
72,rodent,200
73,deer,20
73,rodent,200
74,deer,20
74,rodent,200
75,deer,20
75,rodent,200
76,deer,20
76,rodent,200
77,deer,20
77,rodent,200
78,deer,20
78,rodent,200
79,deer,20
79,rodent,200
80,deer,20
80,rodent,200
81,deer,20
81,rodent,200
82,deer,20
82,rodent,200
83,deer,20
83,rodent,200
84,deer,20
84,rodent,200
85,deer,20
85,rodent,200
86,deer,20
86,rodent,200
87,deer,20
87,rodent,200
88,deer,20
88,rodent,200
89,deer,20
89,rodent,200
90,deer,20
90,rodent,200
91,deer,20
91,rodent,200
92,deer,20
92,rodent,200
93,deer,20
93,rodent,200
94,deer,20
94,rodent,200
95,deer,20
95,rodent,200
96,deer,20
96,rodent,200
97,deer,20
97,rodent,200
98,deer,20
98,rodent,200
99,deer,20
99,rodent,200
100,deer,20
100,rodent,200
101,deer,20
101,rodent,200
102,deer,20
102,rodent,200
103,deer,20
103,rodent,200
104,deer,20
104,rodent,200
105,deer,20
105,rodent,200
106,deer,20
106,rodent,200
107,deer,20
107,rodent,200
108,deer,20
108,rodent,200
109,deer,20
109,rodent,200
110,deer,20
110,rodent,200
111,deer,20
111,rodent,200
112,deer,20
112,rodent,200
113,deer,20
113,rodent,200
114,deer,20
114,rodent,200
115,deer,20
115,rodent,200
116,deer,20
116,rodent,200
117,deer,20
117,rodent,200
118,deer,20
118,rodent,200
119,deer,20
119,rodent,200
120,deer,20
120,rodent,200
121,deer,20
121,rodent,200
122,deer,20
122,rodent,200
123,deer,20
123,rodent,200
124,deer,20
124,rodent,200
125,deer,20
125,rodent,200
126,deer,20
126,rodent,200
127,deer,20
127,rodent,200
128,deer,20
128,rodent,200
129,deer,20
129,rodent,200
130,deer,20
130,rodent,200
131,deer,20
131,rodent,200
132,deer,20
132,rodent,200
133,deer,20
133,rodent,200
134,deer,20
134,rodent,200
135,deer,20
135,rodent,200
136,deer,20
136,rodent,200
137,deer,20
137,rodent,200
138,deer,20
138,rodent,200
139,deer,20
139,rodent,200
140,deer,20
140,rodent,200
141,deer,20
141,rodent,200
142,deer,20
142,rodent,200
143,deer,20
143,rodent,200
144,deer,20
144,rodent,200
145,deer,20
145,rodent,200
146,deer,20
146,rodent,200
147,deer,20
147,rodent,200
148,deer,20
148,rodent,200
149,deer,20
149,rodent,200
150,deer,20
150,rodent,200
151,deer,20
151,rodent,200
152,deer,20
152,rodent,200
153,deer,20
153,rodent,200
154,deer,20
154,rodent,200
155,deer,20
155,rodent,200
156,deer,20
156,rodent,200
157,deer,20
157,rodent,200
158,deer,20
158,rodent,200
159,deer,20
159,rodent,200
160,deer,20
160,rodent,200
161,deer,20
161,rodent,200
162,deer,20
162,rodent,200
163,deer,20
163,rodent,200
164,deer,20
164,rodent,200
165,deer,20
165,rodent,200
166,deer,20
166,rodent,200
167,deer,20
167,rodent,200
168,deer,20
168,rodent,200
169,deer,20
169,rodent,200
170,deer,20
170,rodent,200
171,deer,20
171,rodent,200
172,deer,20
172,rodent,200
173,deer,20
173,rodent,200
174,deer,20
174,rodent,200
175,deer,20
175,rodent,200
176,deer,20
176,rodent,200
177,deer,20
177,rodent,200
178,deer,20
178,rodent,200
179,deer,20
179,rodent,200
180,deer,20
180,rodent,200
181,deer,20
181,rodent,200
182,deer,20
182,rodent,200
183,deer,20
183,rodent,200
184,deer,20
184,rodent,200
185,deer,20
185,rodent,200
186,deer,20
186,rodent,200
187,deer,20
187,rodent,200
188,deer,20
188,rodent,200
189,deer,20
189,rodent,200
190,deer,20
190,rodent,200
191,deer,20
191,rodent,200
192,deer,20
192,rodent,200
193,deer,20
193,rodent,200
194,deer,20
194,rodent,200
195,deer,20
195,rodent,200
196,deer,20
196,rodent,200
197,deer,20
197,rodent,200
198,deer,20
198,rodent,200
199,deer,20
199,rodent,200
200,deer,20
200,rodent,200
201,deer,20
201,rodent,200
202,deer,20
202,rodent,200
203,deer,20
203,rodent,200
204,deer,20
204,rodent,200
205,deer,20
205,rodent,200
206,deer,20
206,rodent,200
207,deer,20
207,rodent,200
208,deer,20
208,rodent,200
209,deer,20
209,rodent,200
210,deer,20
210,rodent,200
211,deer,20
211,rodent,200
212,deer,20
212,rodent,200
213,deer,20
213,rodent,200
214,deer,20
214,rodent,200
215,deer,20
215,rodent,200
216,deer,20
216,rodent,200
217,deer,20
217,rodent,200
218,deer,20
218,rodent,200
219,deer,20
219,rodent,200
220,deer,20
220,rodent,200
221,deer,20
221,rodent,200
222,deer,20
222,rodent,200
223,deer,20
223,rodent,200
224,deer,20
224,rodent,200
225,deer,20
225,rodent,200
226,deer,20
226,rodent,200
227,deer,20
227,rodent,200
228,deer,20
228,rodent,200
229,deer,20
229,rodent,200
230,deer,20
230,rodent,200
231,deer,20
231,rodent,200
232,deer,20
232,rodent,200
233,deer,20
233,rodent,200
234,deer,20
234,rodent,200
235,deer,20
235,rodent,200
236,deer,20
236,rodent,200
237,deer,20
237,rodent,200
238,deer,20
238,rodent,200
239,deer,20
239,rodent,200
240,deer,20
240,rodent,200
241,deer,20
241,rodent,200
242,deer,20
242,rodent,200
243,deer,20
243,rodent,200
244,deer,20
