month,station,daily_avg_temp
Jan,Point Pelee,-4.5
Feb,Point Pelee,-3.6
Mar,Point Pelee,1.3
Apr,Point Pelee,7.2
May,Point Pelee,13.7
Jun,Point Pelee,19.3
Jul,Point Pelee,22.3
Aug,Point Pelee,21.5
Sep,Point Pelee,17.6
Oct,Point Pelee,11.1
Nov,Point Pelee,5.5
Dec,Point Pelee,-0.9
Jan,South Baymouth,-8.5
Feb,South Baymouth,-8
Mar,South Baymouth,-3.5
Apr,South Baymouth,3.4
May,South Baymouth,9.7
Jun,South Baymouth,14.1
Jul,South Baymouth,18
Aug,South Baymouth,17.7
Sep,South Baymouth,13.4
Oct,South Baymouth,7.7
Nov,South Baymouth,2
Dec,South Baymouth,-4.5
Jan,Exeter,-6
Feb,Exeter,-5.7
Mar,Exeter,-0.5
Apr,Exeter,6.2
May,Exeter,12.9
Jun,Exeter,18
Jul,Exeter,20.4
Aug,Exeter,19.5
Sep,Exeter,15.3
Oct,Exeter,9.1
Nov,Exeter,3.1
Dec,Exeter,-2.9
Jan,Hanover,-7.1
Feb,Hanover,-6.7
Mar,Hanover,-1.7
Apr,Hanover,5.4
May,Hanover,12
Jun,Hanover,16.9
Jul,Hanover,19.5
Aug,Hanover,18.5
Sep,Hanover,14.3
Oct,Hanover,8.3
Nov,Hanover,2.4
Dec,Hanover,-3.8
Jan,KAPUSKASING CDA,-18.9
Feb,KAPUSKASING CDA,-15.7
Mar,KAPUSKASING CDA,-8.8
Apr,KAPUSKASING CDA,0.4
May,KAPUSKASING CDA,9
Jun,KAPUSKASING CDA,14.4
Jul,KAPUSKASING CDA,17.2
Aug,KAPUSKASING CDA,15.9
Sep,KAPUSKASING CDA,10.5
Oct,KAPUSKASING CDA,4
Nov,KAPUSKASING CDA,-4.4
Dec,KAPUSKASING CDA,-14.2
Jan,New Glasgow,-4.9
Feb,New Glasgow,-4.1
Mar,New Glasgow,0.7
Apr,New Glasgow,6.5
May,New Glasgow,13.1
Jun,New Glasgow,18.2
Jul,New Glasgow,20.9
Aug,New Glasgow,20.1
Sep,New Glasgow,16.4
Oct,New Glasgow,10.4
Nov,New Glasgow,4.4
Dec,New Glasgow,-1.5
