"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*KAPUSKASING CDA","ON"," 49°24'00.000"" N"," 82°26'00.000"" W","217.9 m","6073960","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-18.9","-15.7","-8.8","0.4","9.0","14.4","17.2","15.9","10.5","4.0","-4.4","-14.2","0.8","A"
"Standard Deviation","3.1","3.6","3.0","2.3","2.1","1.7","1.1","1.4","1.5","1.9","2.5","4.0","1.0","A"
"Daily Maximum (°C)","-12.8","-8.9","-2.3","6.5","15.5","20.8","23.5","21.9","15.5","8.0","-0.8","-9.2","6.5","A"
"Daily Minimum (°C)","-24.9","-22.5","-15.3","-5.8","2.4","7.9","10.9","9.9","5.4","-0.1","-8.0","-19.2","-4.9","A"
"Extreme Maximum (°C)","8.3","11.7","19.4","29.5","33.3","37.0","37.8","35.0","32.8","27.8","20.0","15.6","",""
"Date (yyyy/dd)","1921/27","1930/22","1945/25","1986/28","1921/21","1995/18","1936/12","1931/05","1953/03","1947/16","1938/03","1921/01",""," "
"Extreme Minimum (°C)","-47.2","-46.7","-42.8","-30.6","-13.0","-6.7","-1.0","-3.9","-7.0","-15.6","-36.1","-47.2","",""
"Date (yyyy/dd)","1935/24","1918/05","1938/03","1932/02","1981/10","1921/04","1992/01","1921/31","1981/30","1922/29","1933/25","1975/19",""," "
"Precipitation"
"Rainfall (mm)","0.5","3.1","12.2","27.6","61.9","84.9","99.7","79.7","92.5","65.9","21.6","4.1","553.6","A"
"Snowfall (cm)","55.4","33.3","39.3","22.8","6.0","0.2","0.0","0.0","0.9","17.2","41.4","49.6","266.0","A"
"Precipitation (mm)","52.1","33.8","51.9","52.1","68.2","85.1","99.7","79.7","93.5","83.7","62.9","49.9","812.5","A"
"Snow Depth at Month-end (cm)","47","50","40","1","0","0","0","0","0","0","12","30","15","D"
"Extreme Daily Rainfall (mm)","12.7","18.3","23.4","42.8","77.0","61.0","80.5","68.1","63.0","47.2","30.5","41.1","",""
"Date (yyyy/dd)","1939/09","1955/20","1951/30","2001/22","1962/29","1923/23","1963/14","1961/31","1921/22","1942/04","1918/18","1921/02",""," "
"Extreme Daily Snowfall (cm)","38.1","27.9","38.6","42.4","25.4","2.8","9.8","0.0","20.3","41.6","44.5","35.6","",""
"Date (yyyy/dd)","1940/14","1943/10","1966/23","1981/04","1929/15","1990/03","2001/01","1918/01","1923/13","1990/17","1957/08","1952/13",""," "
"Extreme Daily Precipitation (mm)","38.1","27.9","38.6","47.0","77.0","61.0","80.5","68.1","63.0","54.6","44.5","41.1","",""
"Date (yyyy/dd)","1940/14","1943/10","1966/23","1996/30","1962/29","1923/23","1963/14","1961/31","1921/22","1982/20","1957/08","1921/02",""," "
"Extreme Snow Depth (cm)","94","99","109","104","41","0","0","0","1","18","41","58","",""
"Date (yyyy/dd)","1967/28","1967/10","1967/13","1969/04","1996/01","1962/01","1962/01","1962/01","1991/27","1966/16","1966/18","1966/29",""," "
"Days with Maximum Temperature"
"<= 0 °C","29.6","24.4","19.3","5.5","0.37","0.0","0.0","0.0","0.0","2.6","17.2","27.1","126.0","A"
"> 0 °C","1.4","3.8","11.7","24.5","30.6","30.0","31.0","31.0","30.0","28.4","12.8","3.9","239.3","A"
"> 10 °C","0.0","0.0","0.83","8.0","22.9","28.5","31.0","30.9","24.6","10.6","1.6","0.07","159.1","A"
"> 20 °C","0.0","0.0","0.0","1.3","8.8","16.8","23.9","19.6","6.3","0.97","0.0","0.0","77.7","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.40","0.97","1.5","0.63","0.07","0.0","0.0","0.0","3.5","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.03","0.03","0.0","0.0","0.0","0.0","0.0","0.06","A"
"Days with Minimum Temperature"
"> 0 °C","0.0","0.37","1.5","4.8","18.9","27.3","30.9","30.6","24.9","13.0","3.0","0.23","155.5","A"
"<= 2 °C","31.0","28.1","30.5","27.6","16.0","4.9","0.73","1.6","8.7","22.2","28.7","30.9","231.0","A"
"<= 0 °C","31.0","27.9","29.5","25.2","12.1","2.7","0.10","0.40","5.1","18.0","27.0","30.8","209.8","A"
"< -2 °C","30.9","27.5","27.5","20.0","6.8","0.60","0.0","0.03","1.6","10.2","22.7","29.7","177.6","A"
"< -10 °C","28.4","24.3","20.3","7.0","0.17","0.0","0.0","0.0","0.0","0.50","10.1","23.9","114.6","A"
"< -20 °C","21.1","17.1","10.3","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","14.4","66.2","A"
"< - 30 °C","10.3","7.4","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20","4.6","24.8","A"
"Days with Rainfall"
">= 0.2 mm","0.37","0.73","2.7","5.5","12.6","15.6","15.7","14.5","19.4","14.4","4.5","0.93","106.9","A"
">= 5 mm","0.03","0.20","0.87","2.0","4.1","6.0","5.9","4.6","5.8","4.3","1.5","0.33","35.8","A"
