"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*EXETER","ON"," 43°21'00.000"" N"," 81°30'00.000"" W","262.1 m","6122370","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.0","-5.7","-0.5","6.2","12.9","18.0","20.4","19.5","15.3","9.1","3.1","-2.9","7.5","A"
"Standard Deviation","2.7","2.9","2.5","1.8","2.1","1.5","1.2","1.3","1.2","1.7","1.6","2.7","1.0","A"
"Daily Maximum (°C)","-2.4","-1.8","3.7","11.0","18.6","23.6","25.8","24.7","20.5","13.6","6.5","0.4","12.0","A"
"Daily Minimum (°C)","-9.6","-9.7","-4.7","1.3","7.2","12.3","14.9","14.1","10.1","4.6","-0.3","-6.2","2.8","A"
"Extreme Maximum (°C)","14.5","19.5","25.0","29.0","32.0","37.0","36.0","35.5","33.3","28.9","21.5","18.0","",""
"Date (yyyy/dd)","1995/13","2000/26","2000/08","1985/22","1977/21","1988/25","1987/18","2001/08","1973/03","1967/04","1999/09","1982/03",""," "
"Extreme Minimum (°C)","-30.0","-27.0","-27.0","-13.9","-3.9","-1.1","5.5","1.5","-1.5","-7.8","-13.0","-23.5","",""
"Date (yyyy/dd)","1994/19","1978/03","1978/01","1972/07","1970/06","1972/10","1979/05","1982/28","1993/30","1969/22","1996/15","1995/27",""," "
"Precipitation"
"Rainfall (mm)","25.9","20.7","43.4","73.5","77.3","77.7","84.9","85.7","114.5","84.8","74.9","42.8","805.8","A"
"Snowfall (cm)","54.5","32.2","22.5","6.0","0.1","0.0","0.0","0.0","0.0","1.8","17.3","48.2","182.7","A"
"Precipitation (mm)","80.4","53.0","65.9","79.5","77.4","77.7","84.9","85.7","114.5","86.5","92.1","91.0","988.5","A"
"Extreme Daily Rainfall (mm)","27.4","36.4","38.9","66.0","66.0","73.0","159.0","76.2","143.2","68.6","45.0","50.8","",""
"Date (yyyy/dd)","1993/04","1985/23","1974/04","1979/13","1974/16","1993/20","2000/09","1964/01","1986/10","1972/22","1995/10","1966/06",""," "
"Extreme Daily Snowfall (cm)","35.6","30.5","30.5","15.2","2.0","0.0","0.0","0.0","0.0","16.4","30.5","40.6","",""
"Date (yyyy/dd)","1971/26","1968/09","1973/17","1975/03","1984/13","1961/01","1961/01","1961/01","1961/01","1997/21","1970/23","1970/25",""," "
"Extreme Daily Precipitation (mm)","35.6","36.4","43.2","66.0","66.0","73.0","159.0","76.2","143.2","68.6","45.0","50.8","",""
"Date (yyyy/dd)","1971/26","1985/23","1973/17","1979/13","1974/16","1993/20","2000/09","1964/01","1986/10","1972/22","1995/10","1966/06",""," "
"Extreme Snow Depth (cm)","60","84","10","4","0","0","0","0","0","10","10","60","",""
"Date (yyyy/dd)","2001/01","1985/19","1993/23","1985/01","1983/01","1983/01","1983/01","1983/01","1983/01","1997/22","1986/21","2000/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","20.7","17.7","9.9","1.3","0.0","0.0","0.0","0.0","0.0","0.0","3.1","14.1","66.9","D"
"> 0 °C","10.3","10.5","21.1","28.8","31.0","30.0","31.0","31.0","30.0","31.0","26.9","16.9","298.4","D"
"> 10 °C","0.38","0.21","4.9","15.0","28.5","29.7","31.0","31.0","29.7","22.0","7.2","1.1","200.6","D"
"> 20 °C","0.0","0.0","0.71","2.1","12.6","22.5","28.9","27.7","15.1","4.1","0.21","0.0","113.8","D"
"> 30 °C","0.0","0.0","0.0","0.0","0.24","2.4","3.0","1.6","0.44","0.0","0.0","0.0","7.7","D"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.04","0.07","0.0","0.0","0.0","0.0","0.0","0.11","D"
"Days with Minimum Temperature"
"> 0 °C","1.4","0.88","6.6","16.6","29.3","29.9","31.0","31.0","29.9","26.5","12.8","3.0","218.8","D"
"<= 2 °C","30.5","28.0","27.5","19.1","5.2","0.30","0.0","0.03","0.75","10.0","22.5","29.9","173.8","D"
"<= 0 °C","29.6","27.4","24.4","13.4","1.7","0.07","0.0","0.0","0.11","4.5","17.2","28.0","146.5","D"
"< -2 °C","26.4","24.0","19.5","5.8","0.13","0.0","0.0","0.0","0.0","0.88","9.1","22.3","108.2","D"
"< -10 °C","13.8","13.4","5.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.31","6.8","40.2","D"
