"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"POINT PELEE","ON"," 41°57'00.000"" N"," 82°31'00.000"" W","176.8 m","613FN58","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-4.5","-3.6","1.3","7.2","13.7","19.3","22.3","21.5","17.6","11.1","5.5","-0.9","9.2","D"
"Standard Deviation","3.1","2.8","1.7","1.7","1.9","1.2","1.0","1.2","1.1","1.4","1.5","2.8","1.6","D"
"Daily Maximum (°C)","-1.5","-0.2","4.9","11.3","18.0","23.5","26.7","25.7","21.6","14.6","8.3","1.8","12.9","D"
"Daily Minimum (°C)","-7.5","-6.9","-2.3","3.1","9.4","15.0","18.0","17.4","13.6","7.6","2.7","-3.6","5.5","D"
"Extreme Maximum (°C)","13.0","14.5","22.5","28.5","31.5","33.5","34.0","34.5","31.0","25.5","20.6","18.5","",""
"Date (yyyy/dd)","1985/01","1984/23","1990/14","1990/26","1987/29","1988/14","1988/07","1988/02","1983/10","1988/01","1975/06","1982/02",""," "
"Extreme Minimum (°C)","-27.0","-24.0","-18.0","-9.8","-3.2","3.0","7.0","4.0","-1.7","-5.5","-9.4","-23.0","",""
"Date (yyyy/dd)","1994/19","1982/10","1978/02","1997/10","1997/07","1992/22","1978/12","1982/29","1974/23","1988/31","1976/30","1983/30",""," "
"Precipitation"
"Rainfall (mm)","27.3","30.2","61.2","76.4","79.3","84.5","73.9","89.3","94.2","61.2","79.0","53.0","809.3","D"
"Snowfall (cm)","31.0","23.3","17.1","3.5","0.0","0.0","0.0","0.0","0.0","0.0","4.4","19.6","98.9","D"
"Precipitation (mm)","57.6","53.6","78.2","79.9","79.3","84.5","73.9","89.3","94.2","61.2","83.7","72.9","908.3","D"
"Extreme Daily Rainfall (mm)","40.0","52.0","42.8","87.9","57.8","48.3","111.6","91.4","106.4","33.8","72.8","34.6","",""
"Date (yyyy/dd)","1988/19","1990/22","1997/13","1977/22","1991/25","1976/24","1989/19","1987/26","1990/06","1991/24","1982/01","1984/31",""," "
"Extreme Daily Snowfall (cm)","31.0","31.2","30.4","19.6","0.0","0.0","0.0","0.0","0.0","0.4","20.3","16.2","",""
"Date (yyyy/dd)","1992/14","1985/12","1993/04","1982/05","1974/01","1974/01","1974/01","1974/01","1974/01","1993/30","1976/04","1984/26",""," "
"Extreme Daily Precipitation (mm)","40.0","52.0","42.8","87.9","57.8","48.3","111.6","91.4","106.4","33.8","72.8","34.6","",""
"Date (yyyy/dd)","1988/19","1990/22","1997/13","1977/22","1991/25","1976/24","1989/19","1987/26","1990/06","1991/24","1982/01","1984/31",""," "
"Extreme Snow Depth (cm)","41","51","6","7","0","0","0","0","0","0","9","16","",""
"Date (yyyy/dd)","1985/26","1985/15","1981/06","1994/06","1981/01","1981/01","1981/01","1981/01","1981/01","1981/01","1992/08","1981/29",""," "
"Days with Maximum Temperature"
"<= 0 °C","17.8","13.8","5.1","0.30","0.0","0.0","0.0","0.0","0.0","0.0","1.3","10.0","48.1","D"
"> 0 °C","13.3","14.4","26.0","29.7","31.0","30.0","31.0","31.0","30.0","31.0","28.7","21.1","317.1","D"
"> 10 °C","0.25","0.47","4.9","15.7","29.6","30.0","31.0","31.0","30.0","25.7","10.1","1.5","210.2","D"
"> 20 °C","0.0","0.0","0.33","2.0","9.4","24.4","30.6","29.6","18.4","3.1","0.05","0.0","117.9","D"
"> 30 °C","0.0","0.0","0.0","0.0","0.18","1.1","3.4","1.2","0.10","0.0","0.0","0.0","5.9","D"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","D"
"Days with Minimum Temperature"
"> 0 °C","2.5","3.6","9.3","22.6","30.6","30.0","31.0","31.0","30.0","29.0","20.6","7.5","247.6","D"
"<= 2 °C","30.6","27.5","26.9","12.6","1.1","0.0","0.0","0.0","0.25","4.3","15.1","28.1","146.4","D"
"<= 0 °C","28.6","24.7","21.7","7.4","0.36","0.0","0.0","0.0","0.05","2.0","9.4","23.5","117.6","D"
"< -2 °C","23.3","19.7","13.8","2.7","0.05","0.0","0.0","0.0","0.0","0.55","4.3","16.0","80.3","D"
"< -10 °C","10.0","8.6","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","24.8","D"
"< -20 °C","0.85","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.26","1.6","D"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","D"
"Days with Rainfall"
">= 0.2 mm","4.5","4.7","9.6","13.7","12.9","11.5","10.7","11.1","12.1","13.2","13.8","8.4","126.3","D"
">= 5 mm","1.7","1.9","4.2","4.8","4.9","4.6","4.2","4.4","5.1","4.2","5.0","3.8","48.8","D"
">= 10 mm","0.89","0.85","1.9","2.7","2.4","2.8","2.5","2.8","3.0","2.1","2.8","1.6","26.3","D"
">= 25 mm","0.21","0.35","0.24","0.27","0.68","0.81","0.57","0.95","0.90","0.20","0.30","0.21","5.7","D"
"Days With Snowfall"
">= 0.2 cm","9.9","6.7","4.5","1.1","0.0","0.0","0.0","0.0","0.0","0.10","1.5","6.8","30.6","D"
">= 5 cm","2.1","1.3","0.95","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.30","1.3","6.2","D"
">= 10 cm","0.60","0.55","0.48","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.26","2.0","D"
">= 25 cm","0.20","0.05","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.30","D"
"Days with Precipitation"
">= 0.2 mm","13.7","11.1","13.3","14.3","12.9","11.5","10.7","11.1","12.1","13.2","14.9","14.6","153.5","D"
">= 5 mm","3.6","3.2","5.1","5.0","4.9","4.6","4.2","4.4","5.1","4.3","5.3","5.2","54.9","D"
">= 10 mm","1.4","1.5","2.4","2.8","2.4","2.8","2.5","2.8","3.0","2.1","2.9","2.1","28.6","D"
">= 25 mm","0.40","0.40","0.33","0.27","0.68","0.81","0.57","0.95","0.90","0.20","0.30","0.21","6.0","D"
"Wind"
"Speed (km/h)","16.0","14.7","15.1","14.6","12.6","11.4","10.4","10.4","12.1","14.7","16.7","16.9","13.8","D"
"Most Frequent Direction","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","SW","D"
"Maximum Hourly Speed (km/h)","51.0","48.0","48.0","53.0","53.0","37.0","32.0","32.0","42.0","45.0","43.0","69.0","69.0",""
"Date (yyyy/dd)","1982/04","1990/24","1975/14","1979/06","1990/11","1977/06","1977/01","1988/15","1975/24","1989/20","1975/30","1991/14","1991/14"," "
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.4","3.6","16.8","10.4","1.9","0.0","0.0","0.0","33.1","D"
"Above 18 °C","0.0","0.0","0.0","1.0","15.6","66.1","137.7","116.0","46.4","1.9","0.0","0.0","384.8","D"
"Above 15 °C","0.0","0.0","0.0","4.0","39.9","135.5","228.3","203.2","100.6","12.3","0.4","0.0","724.2","D"
"Above 10 °C","0.0","0.0","2.3","24.8","128.3","278.6","383.3","357.6","230.0","72.3","12.4","0.7","1490.4","D"
"Above 5 °C","0.6","1.6","18.3","92.5","270.8","428.6","538.3","512.6","378.9","192.5","61.6","6.7","2502.9","D"
"Above 0 °C","15.0","22.9","79.4","219.1","425.7","578.6","693.3","667.6","528.9","344.3","170.0","45.8","3790.6","D"
"Below 0 °C","154.5","121.1","39.1","2.4","0.0","0.0","0.0","0.0","0.0","0.0","6.1","74.1","397.2","D"
"Below 5 °C","295.2","240.9","132.9","25.7","0.1","0.0","0.0","0.0","0.0","3.2","47.6","190.0","935.5","D"
"Below 10 °C","449.6","380.3","271.9","108.1","12.6","0.0","0.0","0.0","1.1","38.1","148.4","339.0","1749.1","D"
"Below 15 °C","604.6","521.4","424.7","237.3","79.2","6.9","0.0","0.5","21.7","133.0","286.5","493.3","2809.0","D"
"Below 18 °C","697.6","606.0","517.7","324.3","147.9","27.6","2.4","6.4","57.5","215.7","376.0","586.3","3565.2","D"
