tmean,j_day
-6,1
-6,2
-6,3
-6,4
-6,5
-6,6
-6,7
-6,8
-6,9
-6,10
-6,11
-6,12
-6,13
-6,14
-6,15
-6,16
-6,17
-6,18
-6,19
-6,20
-6,21
-6,22
-6,23
-6,24
-6,25
-6,26
-6,27
-6,28
-6,29
-6,30
-6,31
-5.7,32
-5.7,33
-5.7,34
-5.7,35
-5.7,36
-5.7,37
-5.7,38
-5.7,39
-5.7,40
-5.7,41
-5.7,42
-5.7,43
-5.7,44
-5.7,45
-5.7,46
-5.7,47
-5.7,48
-5.7,49
-5.7,50
-5.7,51
-5.7,52
-5.7,53
-5.7,54
-5.7,55
-5.7,56
-5.7,57
-5.7,58
-5.7,59
-0.5,60
-0.5,61
-0.5,62
-0.5,63
-0.5,64
-0.5,65
-0.5,66
-0.5,67
-0.5,68
-0.5,69
-0.5,70
-0.5,71
-0.5,72
-0.5,73
-0.5,74
-0.5,75
-0.5,76
-0.5,77
-0.5,78
-0.5,79
-0.5,80
-0.5,81
-0.5,82
-0.5,83
-0.5,84
-0.5,85
-0.5,86
-0.5,87
-0.5,88
-0.5,89
-0.5,90
6.2,91
6.2,92
6.2,93
6.2,94
6.2,95
6.2,96
6.2,97
6.2,98
6.2,99
6.2,100
6.2,101
6.2,102
6.2,103
6.2,104
6.2,105
6.2,106
6.2,107
6.2,108
6.2,109
6.2,110
6.2,111
6.2,112
6.2,113
6.2,114
6.2,115
6.2,116
6.2,117
6.2,118
6.2,119
6.2,120
12.9,121
12.9,122
12.9,123
12.9,124
12.9,125
12.9,126
12.9,127
12.9,128
12.9,129
12.9,130
12.9,131
12.9,132
12.9,133
12.9,134
12.9,135
12.9,136
12.9,137
12.9,138
12.9,139
12.9,140
12.9,141
12.9,142
12.9,143
12.9,144
12.9,145
12.9,146
12.9,147
12.9,148
12.9,149
12.9,150
12.9,151
18,152
18,153
18,154
18,155
18,156
18,157
18,158
18,159
18,160
18,161
18,162
18,163
18,164
18,165
18,166
18,167
18,168
18,169
18,170
18,171
18,172
18,173
18,174
18,175
18,176
18,177
18,178
18,179
18,180
18,181
20.4,182
20.4,183
20.4,184
20.4,185
20.4,186
20.4,187
20.4,188
20.4,189
20.4,190
20.4,191
20.4,192
20.4,193
20.4,194
20.4,195
20.4,196
20.4,197
20.4,198
20.4,199
20.4,200
20.4,201
20.4,202
20.4,203
20.4,204
20.4,205
20.4,206
20.4,207
20.4,208
20.4,209
20.4,210
20.4,211
20.4,212
19.5,213
19.5,214
19.5,215
19.5,216
19.5,217
19.5,218
19.5,219
19.5,220
19.5,221
19.5,222
19.5,223
19.5,224
19.5,225
19.5,226
19.5,227
19.5,228
19.5,229
19.5,230
19.5,231
19.5,232
19.5,233
19.5,234
19.5,235
19.5,236
19.5,237
19.5,238
19.5,239
19.5,240
19.5,241
19.5,242
19.5,243
15.3,244
15.3,245
15.3,246
15.3,247
15.3,248
15.3,249
15.3,250
15.3,251
15.3,252
15.3,253
15.3,254
15.3,255
15.3,256
15.3,257
15.3,258
15.3,259
15.3,260
15.3,261
15.3,262
15.3,263
15.3,264
15.3,265
15.3,266
15.3,267
15.3,268
15.3,269
15.3,270
15.3,271
15.3,272
15.3,273
9.1,274
9.1,275
9.1,276
9.1,277
9.1,278
9.1,279
9.1,280
9.1,281
9.1,282
9.1,283
9.1,284
9.1,285
9.1,286
9.1,287
9.1,288
9.1,289
9.1,290
9.1,291
9.1,292
9.1,293
9.1,294
9.1,295
9.1,296
9.1,297
9.1,298
9.1,299
9.1,300
9.1,301
9.1,302
9.1,303
9.1,304
3.1,305
3.1,306
3.1,307
3.1,308
3.1,309
3.1,310
3.1,311
3.1,312
3.1,313
3.1,314
3.1,315
3.1,316
3.1,317
3.1,318
3.1,319
3.1,320
3.1,321
3.1,322
3.1,323
3.1,324
3.1,325
3.1,326
3.1,327
3.1,328
3.1,329
3.1,330
3.1,331
3.1,332
3.1,333
3.1,334
-2.9,335
-2.9,336
-2.9,337
-2.9,338
-2.9,339
-2.9,340
-2.9,341
-2.9,342
-2.9,343
-2.9,344
-2.9,345
-2.9,346
-2.9,347
-2.9,348
-2.9,349
-2.9,350
-2.9,351
-2.9,352
-2.9,353
-2.9,354
-2.9,355
-2.9,356
-2.9,357
-2.9,358
-2.9,359
-2.9,360
-2.9,361
-2.9,362
-2.9,363
-2.9,364
-2.9,365
-6,366
-6,367
-6,368
-6,369
-6,370
-6,371
-6,372
-6,373
-6,374
-6,375
-6,376
-6,377
-6,378
-6,379
-6,380
-6,381
-6,382
-6,383
-6,384
-6,385
-6,386
-6,387
-6,388
-6,389
-6,390
-6,391
-6,392
-6,393
-6,394
-6,395
-6,396
-5.7,397
-5.7,398
-5.7,399
-5.7,400
-5.7,401
-5.7,402
-5.7,403
-5.7,404
-5.7,405
-5.7,406
-5.7,407
-5.7,408
-5.7,409
-5.7,410
-5.7,411
-5.7,412
-5.7,413
-5.7,414
-5.7,415
-5.7,416
-5.7,417
-5.7,418
-5.7,419
-5.7,420
-5.7,421
-5.7,422
-5.7,423
-5.7,424
-0.5,425
-0.5,426
-0.5,427
-0.5,428
-0.5,429
-0.5,430
-0.5,431
-0.5,432
-0.5,433
-0.5,434
-0.5,435
-0.5,436
-0.5,437
-0.5,438
-0.5,439
-0.5,440
-0.5,441
-0.5,442
-0.5,443
-0.5,444
-0.5,445
-0.5,446
-0.5,447
-0.5,448
-0.5,449
-0.5,450
-0.5,451
-0.5,452
-0.5,453
-0.5,454
-0.5,455
6.2,456
6.2,457
6.2,458
6.2,459
6.2,460
6.2,461
6.2,462
6.2,463
6.2,464
6.2,465
6.2,466
6.2,467
6.2,468
6.2,469
6.2,470
6.2,471
6.2,472
6.2,473
6.2,474
6.2,475
6.2,476
6.2,477
6.2,478
6.2,479
6.2,480
6.2,481
6.2,482
6.2,483
6.2,484
6.2,485
12.9,486
12.9,487
12.9,488
12.9,489
12.9,490
12.9,491
12.9,492
12.9,493
12.9,494
12.9,495
12.9,496
12.9,497
12.9,498
12.9,499
12.9,500
12.9,501
12.9,502
12.9,503
12.9,504
12.9,505
12.9,506
12.9,507
12.9,508
12.9,509
12.9,510
12.9,511
12.9,512
12.9,513
12.9,514
12.9,515
12.9,516
18,517
18,518
18,519
18,520
18,521
18,522
18,523
18,524
18,525
18,526
18,527
18,528
18,529
18,530
18,531
18,532
18,533
18,534
18,535
18,536
18,537
18,538
18,539
18,540
18,541
18,542
18,543
18,544
18,545
18,546
20.4,547
20.4,548
20.4,549
20.4,550
20.4,551
20.4,552
20.4,553
20.4,554
20.4,555
20.4,556
20.4,557
20.4,558
20.4,559
20.4,560
20.4,561
20.4,562
20.4,563
20.4,564
20.4,565
20.4,566
20.4,567
20.4,568
20.4,569
20.4,570
20.4,571
20.4,572
20.4,573
20.4,574
20.4,575
20.4,576
20.4,577
19.5,578
19.5,579
19.5,580
19.5,581
19.5,582
19.5,583
19.5,584
19.5,585
19.5,586
19.5,587
19.5,588
19.5,589
19.5,590
19.5,591
19.5,592
19.5,593
19.5,594
19.5,595
19.5,596
19.5,597
19.5,598
19.5,599
19.5,600
19.5,601
19.5,602
19.5,603
19.5,604
19.5,605
19.5,606
19.5,607
19.5,608
15.3,609
15.3,610
15.3,611
15.3,612
15.3,613
15.3,614
15.3,615
15.3,616
15.3,617
15.3,618
15.3,619
15.3,620
15.3,621
15.3,622
15.3,623
15.3,624
15.3,625
15.3,626
15.3,627
15.3,628
15.3,629
15.3,630
15.3,631
15.3,632
15.3,633
15.3,634
15.3,635
15.3,636
15.3,637
15.3,638
9.1,639
9.1,640
9.1,641
9.1,642
9.1,643
9.1,644
9.1,645
9.1,646
9.1,647
9.1,648
9.1,649
9.1,650
9.1,651
9.1,652
9.1,653
9.1,654
9.1,655
9.1,656
9.1,657
9.1,658
9.1,659
9.1,660
9.1,661
9.1,662
9.1,663
9.1,664
9.1,665
9.1,666
9.1,667
9.1,668
9.1,669
3.1,670
3.1,671
3.1,672
3.1,673
3.1,674
3.1,675
3.1,676
3.1,677
3.1,678
3.1,679
3.1,680
3.1,681
3.1,682
3.1,683
3.1,684
3.1,685
3.1,686
3.1,687
3.1,688
3.1,689
3.1,690
3.1,691
3.1,692
3.1,693
3.1,694
3.1,695
3.1,696
3.1,697
3.1,698
3.1,699
-2.9,700
-2.9,701
-2.9,702
-2.9,703
-2.9,704
-2.9,705
-2.9,706
-2.9,707
-2.9,708
-2.9,709
-2.9,710
-2.9,711
-2.9,712
-2.9,713
-2.9,714
-2.9,715
-2.9,716
-2.9,717
-2.9,718
-2.9,719
-2.9,720
-2.9,721
-2.9,722
-2.9,723
-2.9,724
-2.9,725
-2.9,726
-2.9,727
-2.9,728
-2.9,729
-2.9,730
-6,731
-6,732
-6,733
-6,734
-6,735
-6,736
-6,737
-6,738
-6,739
-6,740
-6,741
-6,742
-6,743
-6,744
-6,745
-6,746
-6,747
-6,748
-6,749
-6,750
-6,751
-6,752
-6,753
-6,754
-6,755
-6,756
-6,757
-6,758
-6,759
-6,760
-6,761
-5.7,762
-5.7,763
-5.7,764
-5.7,765
-5.7,766
-5.7,767
-5.7,768
-5.7,769
-5.7,770
-5.7,771
-5.7,772
-5.7,773
-5.7,774
-5.7,775
-5.7,776
-5.7,777
-5.7,778
-5.7,779
-5.7,780
-5.7,781
-5.7,782
-5.7,783
-5.7,784
-5.7,785
-5.7,786
-5.7,787
-5.7,788
-5.7,789
-0.5,790
-0.5,791
-0.5,792
-0.5,793
-0.5,794
-0.5,795
-0.5,796
-0.5,797
-0.5,798
-0.5,799
-0.5,800
-0.5,801
-0.5,802
-0.5,803
-0.5,804
-0.5,805
-0.5,806
-0.5,807
-0.5,808
-0.5,809
-0.5,810
-0.5,811
-0.5,812
-0.5,813
-0.5,814
-0.5,815
-0.5,816
-0.5,817
-0.5,818
-0.5,819
-0.5,820
6.2,821
6.2,822
6.2,823
6.2,824
6.2,825
6.2,826
6.2,827
6.2,828
6.2,829
6.2,830
6.2,831
6.2,832
6.2,833
6.2,834
6.2,835
6.2,836
6.2,837
6.2,838
6.2,839
6.2,840
6.2,841
6.2,842
6.2,843
6.2,844
6.2,845
6.2,846
6.2,847
6.2,848
6.2,849
6.2,850
12.9,851
12.9,852
12.9,853
12.9,854
12.9,855
12.9,856
12.9,857
12.9,858
12.9,859
12.9,860
12.9,861
12.9,862
12.9,863
12.9,864
12.9,865
12.9,866
12.9,867
12.9,868
12.9,869
12.9,870
12.9,871
12.9,872
12.9,873
12.9,874
12.9,875
12.9,876
12.9,877
12.9,878
12.9,879
12.9,880
12.9,881
18,882
18,883
18,884
18,885
18,886
18,887
18,888
18,889
18,890
18,891
18,892
18,893
18,894
18,895
18,896
18,897
18,898
18,899
18,900
18,901
18,902
18,903
18,904
18,905
18,906
18,907
18,908
18,909
18,910
18,911
20.4,912
20.4,913
20.4,914
20.4,915
