tmean,j_day
-7.1,1
-7.1,2
-7.1,3
-7.1,4
-7.1,5
-7.1,6
-7.1,7
-7.1,8
-7.1,9
-7.1,10
-7.1,11
-7.1,12
-7.1,13
-7.1,14
-7.1,15
-7.1,16
-7.1,17
-7.1,18
-7.1,19
-7.1,20
-7.1,21
-7.1,22
-7.1,23
-7.1,24
-7.1,25
-7.1,26
-7.1,27
-7.1,28
-7.1,29
-7.1,30
-7.1,31
-6.7,32
-6.7,33
-6.7,34
-6.7,35
-6.7,36
-6.7,37
-6.7,38
-6.7,39
-6.7,40
-6.7,41
-6.7,42
-6.7,43
-6.7,44
-6.7,45
-6.7,46
-6.7,47
-6.7,48
-6.7,49
-6.7,50
-6.7,51
-6.7,52
-6.7,53
-6.7,54
-6.7,55
-6.7,56
-6.7,57
-6.7,58
-6.7,59
-1.7,60
-1.7,61
-1.7,62
-1.7,63
-1.7,64
-1.7,65
-1.7,66
-1.7,67
-1.7,68
-1.7,69
-1.7,70
-1.7,71
-1.7,72
-1.7,73
-1.7,74
-1.7,75
-1.7,76
-1.7,77
-1.7,78
-1.7,79
-1.7,80
-1.7,81
-1.7,82
-1.7,83
-1.7,84
-1.7,85
-1.7,86
-1.7,87
-1.7,88
-1.7,89
-1.7,90
5.4,91
5.4,92
5.4,93
5.4,94
5.4,95
5.4,96
5.4,97
5.4,98
5.4,99
5.4,100
5.4,101
5.4,102
5.4,103
5.4,104
5.4,105
5.4,106
5.4,107
5.4,108
5.4,109
5.4,110
5.4,111
5.4,112
5.4,113
5.4,114
5.4,115
5.4,116
5.4,117
5.4,118
5.4,119
5.4,120
12,121
12,122
12,123
12,124
12,125
12,126
12,127
12,128
12,129
12,130
12,131
12,132
12,133
12,134
12,135
12,136
12,137
12,138
12,139
12,140
12,141
12,142
12,143
12,144
12,145
12,146
12,147
12,148
12,149
12,150
12,151
16.9,152
16.9,153
16.9,154
16.9,155
16.9,156
16.9,157
16.9,158
16.9,159
16.9,160
16.9,161
16.9,162
16.9,163
16.9,164
16.9,165
16.9,166
16.9,167
16.9,168
16.9,169
16.9,170
16.9,171
16.9,172
16.9,173
16.9,174
16.9,175
16.9,176
16.9,177
16.9,178
16.9,179
16.9,180
16.9,181
19.5,182
19.5,183
19.5,184
19.5,185
19.5,186
19.5,187
19.5,188
19.5,189
19.5,190
19.5,191
19.5,192
19.5,193
19.5,194
19.5,195
19.5,196
19.5,197
19.5,198
19.5,199
19.5,200
19.5,201
19.5,202
19.5,203
19.5,204
19.5,205
19.5,206
19.5,207
19.5,208
19.5,209
19.5,210
19.5,211
19.5,212
18.5,213
18.5,214
18.5,215
18.5,216
18.5,217
18.5,218
18.5,219
18.5,220
18.5,221
18.5,222
18.5,223
18.5,224
18.5,225
18.5,226
18.5,227
18.5,228
18.5,229
18.5,230
18.5,231
18.5,232
18.5,233
18.5,234
18.5,235
18.5,236
18.5,237
18.5,238
18.5,239
18.5,240
18.5,241
18.5,242
18.5,243
14.3,244
14.3,245
14.3,246
14.3,247
14.3,248
14.3,249
14.3,250
14.3,251
14.3,252
14.3,253
14.3,254
14.3,255
14.3,256
14.3,257
14.3,258
14.3,259
14.3,260
14.3,261
14.3,262
14.3,263
14.3,264
14.3,265
14.3,266
14.3,267
14.3,268
14.3,269
14.3,270
14.3,271
14.3,272
14.3,273
8.3,274
8.3,275
8.3,276
8.3,277
8.3,278
8.3,279
8.3,280
8.3,281
8.3,282
8.3,283
8.3,284
8.3,285
8.3,286
8.3,287
8.3,288
8.3,289
8.3,290
8.3,291
8.3,292
8.3,293
8.3,294
8.3,295
8.3,296
8.3,297
8.3,298
8.3,299
8.3,300
8.3,301
8.3,302
8.3,303
8.3,304
2.4,305
2.4,306
2.4,307
2.4,308
2.4,309
2.4,310
2.4,311
2.4,312
2.4,313
2.4,314
2.4,315
2.4,316
2.4,317
2.4,318
2.4,319
2.4,320
2.4,321
2.4,322
2.4,323
2.4,324
2.4,325
2.4,326
2.4,327
2.4,328
2.4,329
2.4,330
2.4,331
2.4,332
2.4,333
2.4,334
-3.8,335
-3.8,336
-3.8,337
-3.8,338
-3.8,339
-3.8,340
-3.8,341
-3.8,342
-3.8,343
-3.8,344
-3.8,345
-3.8,346
-3.8,347
-3.8,348
-3.8,349
-3.8,350
-3.8,351
-3.8,352
-3.8,353
-3.8,354
-3.8,355
-3.8,356
-3.8,357
-3.8,358
-3.8,359
-3.8,360
-3.8,361
-3.8,362
-3.8,363
-3.8,364
-3.8,365
-7.1,366
-7.1,367
-7.1,368
-7.1,369
-7.1,370
-7.1,371
-7.1,372
-7.1,373
-7.1,374
-7.1,375
-7.1,376
-7.1,377
-7.1,378
-7.1,379
-7.1,380
-7.1,381
-7.1,382
-7.1,383
-7.1,384
-7.1,385
-7.1,386
-7.1,387
-7.1,388
-7.1,389
-7.1,390
-7.1,391
-7.1,392
-7.1,393
-7.1,394
-7.1,395
-7.1,396
-6.7,397
-6.7,398
-6.7,399
-6.7,400
-6.7,401
-6.7,402
-6.7,403
-6.7,404
-6.7,405
-6.7,406
-6.7,407
-6.7,408
-6.7,409
-6.7,410
-6.7,411
-6.7,412
-6.7,413
-6.7,414
-6.7,415
-6.7,416
-6.7,417
-6.7,418
-6.7,419
-6.7,420
-6.7,421
-6.7,422
-6.7,423
-6.7,424
-1.7,425
-1.7,426
-1.7,427
-1.7,428
-1.7,429
-1.7,430
-1.7,431
-1.7,432
-1.7,433
-1.7,434
-1.7,435
-1.7,436
-1.7,437
-1.7,438
-1.7,439
-1.7,440
-1.7,441
-1.7,442
-1.7,443
-1.7,444
-1.7,445
-1.7,446
-1.7,447
-1.7,448
-1.7,449
-1.7,450
-1.7,451
-1.7,452
-1.7,453
-1.7,454
-1.7,455
5.4,456
5.4,457
5.4,458
5.4,459
5.4,460
5.4,461
5.4,462
5.4,463
5.4,464
5.4,465
5.4,466
5.4,467
5.4,468
5.4,469
5.4,470
5.4,471
5.4,472
5.4,473
5.4,474
5.4,475
5.4,476
5.4,477
5.4,478
5.4,479
5.4,480
5.4,481
5.4,482
5.4,483
5.4,484
5.4,485
12,486
12,487
12,488
12,489
12,490
12,491
12,492
12,493
12,494
12,495
12,496
12,497
12,498
12,499
12,500
12,501
12,502
12,503
12,504
12,505
12,506
12,507
12,508
12,509
12,510
12,511
12,512
12,513
12,514
12,515
12,516
16.9,517
16.9,518
16.9,519
16.9,520
16.9,521
16.9,522
16.9,523
16.9,524
16.9,525
16.9,526
16.9,527
16.9,528
16.9,529
16.9,530
16.9,531
16.9,532
16.9,533
16.9,534
16.9,535
16.9,536
16.9,537
16.9,538
16.9,539
16.9,540
16.9,541
16.9,542
16.9,543
16.9,544
16.9,545
16.9,546
19.5,547
19.5,548
19.5,549
19.5,550
19.5,551
19.5,552
19.5,553
19.5,554
19.5,555
19.5,556
19.5,557
19.5,558
19.5,559
19.5,560
19.5,561
19.5,562
19.5,563
19.5,564
19.5,565
19.5,566
19.5,567
19.5,568
19.5,569
19.5,570
19.5,571
19.5,572
19.5,573
19.5,574
19.5,575
19.5,576
19.5,577
18.5,578
18.5,579
18.5,580
18.5,581
18.5,582
18.5,583
18.5,584
18.5,585
18.5,586
18.5,587
18.5,588
18.5,589
18.5,590
