tmean,j_day
-4.9,1
-4.9,2
-4.9,3
-4.9,4
-4.9,5
-4.9,6
-4.9,7
-4.9,8
-4.9,9
-4.9,10
-4.9,11
-4.9,12
-4.9,13
-4.9,14
-4.9,15
-4.9,16
-4.9,17
-4.9,18
-4.9,19
-4.9,20
-4.9,21
-4.9,22
-4.9,23
-4.9,24
-4.9,25
-4.9,26
-4.9,27
-4.9,28
-4.9,29
-4.9,30
-4.9,31
-4.1,32
-4.1,33
-4.1,34
-4.1,35
-4.1,36
-4.1,37
-4.1,38
-4.1,39
-4.1,40
-4.1,41
-4.1,42
-4.1,43
-4.1,44
-4.1,45
-4.1,46
-4.1,47
-4.1,48
-4.1,49
-4.1,50
-4.1,51
-4.1,52
-4.1,53
-4.1,54
-4.1,55
-4.1,56
-4.1,57
-4.1,58
-4.1,59
0.7,60
0.7,61
0.7,62
0.7,63
0.7,64
0.7,65
0.7,66
0.7,67
0.7,68
0.7,69
0.7,70
0.7,71
0.7,72
0.7,73
0.7,74
0.7,75
0.7,76
0.7,77
0.7,78
0.7,79
0.7,80
0.7,81
0.7,82
0.7,83
0.7,84
0.7,85
0.7,86
0.7,87
0.7,88
0.7,89
0.7,90
6.5,91
6.5,92
6.5,93
6.5,94
6.5,95
6.5,96
6.5,97
6.5,98
6.5,99
6.5,100
6.5,101
6.5,102
6.5,103
6.5,104
6.5,105
6.5,106
6.5,107
6.5,108
6.5,109
6.5,110
6.5,111
6.5,112
6.5,113
6.5,114
6.5,115
6.5,116
6.5,117
6.5,118
6.5,119
6.5,120
13.1,121
13.1,122
13.1,123
13.1,124
13.1,125
13.1,126
13.1,127
13.1,128
13.1,129
13.1,130
13.1,131
13.1,132
13.1,133
13.1,134
13.1,135
13.1,136
13.1,137
13.1,138
13.1,139
13.1,140
13.1,141
13.1,142
13.1,143
13.1,144
13.1,145
13.1,146
13.1,147
13.1,148
13.1,149
13.1,150
13.1,151
18.2,152
18.2,153
18.2,154
18.2,155
18.2,156
18.2,157
18.2,158
18.2,159
18.2,160
18.2,161
18.2,162
18.2,163
18.2,164
18.2,165
18.2,166
18.2,167
18.2,168
18.2,169
18.2,170
18.2,171
18.2,172
18.2,173
18.2,174
18.2,175
18.2,176
18.2,177
18.2,178
18.2,179
18.2,180
18.2,181
20.9,182
20.9,183
20.9,184
20.9,185
20.9,186
20.9,187
20.9,188
20.9,189
20.9,190
20.9,191
20.9,192
20.9,193
20.9,194
20.9,195
20.9,196
20.9,197
20.9,198
20.9,199
20.9,200
20.9,201
20.9,202
20.9,203
20.9,204
20.9,205
20.9,206
20.9,207
20.9,208
20.9,209
20.9,210
20.9,211
20.9,212
20.1,213
20.1,214
20.1,215
20.1,216
20.1,217
20.1,218
20.1,219
20.1,220
20.1,221
20.1,222
20.1,223
20.1,224
20.1,225
20.1,226
20.1,227
20.1,228
20.1,229
20.1,230
20.1,231
20.1,232
20.1,233
20.1,234
20.1,235
20.1,236
20.1,237
20.1,238
20.1,239
20.1,240
20.1,241
20.1,242
20.1,243
