from, to, transition_fun, delay, source, pred1, pred2
__e, h_l, expo_fun, 1, Ogden et al. 2004, temp, NA
__e, m, constant_fun, 1, Ogden et al. 2005, NA, NA
e_l, m, constant_fun, 1, Ogden et al. 2005, NA, NA
e_l, q_n, expo_fun, 1, Ogden et al. 2005, temp, NA
e_n, m, constant_fun, 1, Ogden et al. 2005, NA, NA
e_n, q_a, expo_fun, 1, Ogden et al. 2005, temp, NA
a_l, e_l, constant_fun, 1, Ogden et al. 2005, NA, NA
a_n, e_n, constant_fun, 1, Ogden et al. 2005, NA, NA
h_l, q_l, constant_fun, 1, Daniels et al. 1996, NA, NA
h_l, m, constant_fun, 1, Ogden et al. 2005, NA, NA
q_l, m, constant_fun, 0, Ogden et al. 2005, NA, NA
e_a, r_a, expo_fun, 1, Ogden et al. 2004, temp, NA
r_a, __e, constant_fun, 0, Ogden et al. 2004, NA, NA
e_a, m, constant_fun, 1, Ogden et al. 2005, NA, NA
a_a, e_a, constant_fun, 1, Ogden et al. 2005, NA, NA
q_a, m, constant_fun, 0, Ogden et al. 2005, NA, NA
q_n, m, constant_fun, 0, Ogden et al. 2005, NA, NA
q_l, a_l, ogden_feed_fun, 0, Dave theory, temp, NA
q_n, a_n, ogden_feed_fun, 0, Dave theory, temp, NA
q_a, a_a, ogden_feed_fun, 0, Dave theory, temp, NA
a_l, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
a_n, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
a_a, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
