host_spp,j_day,host_den
mouse,1,40
squirrel,1,8
deer,1,0.25
mouse,2,40
squirrel,2,8
deer,2,0.25
mouse,3,40
squirrel,3,8
deer,3,0.25
mouse,4,40
squirrel,4,8
deer,4,0.25
mouse,5,40
squirrel,5,8
deer,5,0.25
mouse,6,40
squirrel,6,8
deer,6,0.25
mouse,7,40
squirrel,7,8
deer,7,0.25
mouse,8,40
squirrel,8,8
deer,8,0.25
mouse,9,40
squirrel,9,8
deer,9,0.25
mouse,10,40
squirrel,10,8
deer,10,0.25
mouse,11,40
squirrel,11,8
deer,11,0.25
mouse,12,40
squirrel,12,8
deer,12,0.25
mouse,13,40
squirrel,13,8
deer,13,0.25
mouse,14,40
squirrel,14,8
deer,14,0.25
mouse,15,40
squirrel,15,8
deer,15,0.25
mouse,16,40
squirrel,16,8
deer,16,0.25
mouse,17,40
squirrel,17,8
deer,17,0.25
mouse,18,40
squirrel,18,8
deer,18,0.25
mouse,19,40
squirrel,19,8
deer,19,0.25
mouse,20,40
squirrel,20,8
deer,20,0.25
mouse,21,40
squirrel,21,8
deer,21,0.25
mouse,22,40
squirrel,22,8
deer,22,0.25
mouse,23,40
squirrel,23,8
deer,23,0.25
mouse,24,40
squirrel,24,8
deer,24,0.25
mouse,25,40
squirrel,25,8
deer,25,0.25
mouse,26,40
squirrel,26,8
deer,26,0.25
mouse,27,40
squirrel,27,8
deer,27,0.25
mouse,28,40
squirrel,28,8
deer,28,0.25
mouse,29,40
squirrel,29,8
deer,29,0.25
mouse,30,40
squirrel,30,8
deer,30,0.25
mouse,31,40
squirrel,31,8
deer,31,0.25
mouse,32,40
squirrel,32,8
deer,32,0.25
mouse,33,40
squirrel,33,8
deer,33,0.25
mouse,34,40
squirrel,34,8
deer,34,0.25
mouse,35,40
squirrel,35,8
deer,35,0.25
mouse,36,40
squirrel,36,8
deer,36,0.25
mouse,37,40
squirrel,37,8
deer,37,0.25
mouse,38,40
squirrel,38,8
deer,38,0.25
mouse,39,40
squirrel,39,8
deer,39,0.25
mouse,40,40
squirrel,40,8
deer,40,0.25
mouse,41,40
squirrel,41,8
deer,41,0.25
mouse,42,40
squirrel,42,8
deer,42,0.25
mouse,43,40
squirrel,43,8
deer,43,0.25
mouse,44,40
