j_day,host_spp,host_den
1,deer,8
1,mouse,100
1,squirrel,8
2,deer,8
2,mouse,100
2,squirrel,8
3,deer,8
3,mouse,100
3,squirrel,8
4,deer,8
4,mouse,100
4,squirrel,8
5,deer,8
5,mouse,100
5,squirrel,8
6,deer,8
6,mouse,100
6,squirrel,8
7,deer,8
7,mouse,100
7,squirrel,8
8,deer,8
8,mouse,100
8,squirrel,8
9,deer,8
9,mouse,100
9,squirrel,8
10,deer,8
10,mouse,100
10,squirrel,8
11,deer,8
11,mouse,100
11,squirrel,8
12,deer,8
12,mouse,100
12,squirrel,8
13,deer,8
13,mouse,100
13,squirrel,8
14,deer,8
14,mouse,100
14,squirrel,8
15,deer,8
15,mouse,100
15,squirrel,8
16,deer,8
16,mouse,100
16,squirrel,8
17,deer,8
17,mouse,100
17,squirrel,8
18,deer,8
18,mouse,100
18,squirrel,8
19,deer,8
19,mouse,100
19,squirrel,8
20,deer,8
20,mouse,100
20,squirrel,8
21,deer,8
21,mouse,100
21,squirrel,8
22,deer,8
22,mouse,100
22,squirrel,8
23,deer,8
23,mouse,100
23,squirrel,8
24,deer,8
24,mouse,100
24,squirrel,8
25,deer,8
25,mouse,100
25,squirrel,8
26,deer,8
26,mouse,100
26,squirrel,8
27,deer,8
27,mouse,100
27,squirrel,8
28,deer,8
28,mouse,100
28,squirrel,8
29,deer,8
29,mouse,100
29,squirrel,8
30,deer,8
30,mouse,100
30,squirrel,8
31,deer,8
31,mouse,100
31,squirrel,8
32,deer,8
32,mouse,100
32,squirrel,8
33,deer,8
33,mouse,100
33,squirrel,8
34,deer,8
34,mouse,100
34,squirrel,8
35,deer,8
35,mouse,100
35,squirrel,8
36,deer,8
36,mouse,100
36,squirrel,8
37,deer,8
37,mouse,100
37,squirrel,8
38,deer,8
38,mouse,100
38,squirrel,8
39,deer,8
39,mouse,100
39,squirrel,8
40,deer,8
40,mouse,100
40,squirrel,8
41,deer,8
41,mouse,100
41,squirrel,8
42,deer,8
42,mouse,100
42,squirrel,8
43,deer,8
43,mouse,100
43,squirrel,8
44,deer,8
44,mouse,100
44,squirrel,8
45,deer,8
45,mouse,100
45,squirrel,8
46,deer,8
46,mouse,100
46,squirrel,8
47,deer,8
47,mouse,100
47,squirrel,8
48,deer,8
48,mouse,100
48,squirrel,8
49,deer,8
49,mouse,100
49,squirrel,8
50,deer,8
50,mouse,100
50,squirrel,8
51,deer,8
51,mouse,100
51,squirrel,8
52,deer,8
52,mouse,100
52,squirrel,8
53,deer,8
53,mouse,100
53,squirrel,8
54,deer,8
54,mouse,100
54,squirrel,8
55,deer,8
55,mouse,100
55,squirrel,8
56,deer,8
56,mouse,100
56,squirrel,8
57,deer,8
57,mouse,100
57,squirrel,8
58,deer,8
58,mouse,100
58,squirrel,8
59,deer,8
59,mouse,100
59,squirrel,8
60,deer,8
60,mouse,100
60,squirrel,8
61,deer,8
61,mouse,100
61,squirrel,8
62,deer,8
62,mouse,100
62,squirrel,8
63,deer,8
63,mouse,100
63,squirrel,8
64,deer,8
64,mouse,100
64,squirrel,8
65,deer,8
65,mouse,100
65,squirrel,8
66,deer,8
66,mouse,100
66,squirrel,8
67,deer,8
67,mouse,100
67,squirrel,8
68,deer,8
68,mouse,100
68,squirrel,8
69,deer,8
69,mouse,100
69,squirrel,8
70,deer,8
70,mouse,100
70,squirrel,8
71,deer,8
71,mouse,100
71,squirrel,8
72,deer,8
72,mouse,100
72,squirrel,8
73,deer,8
73,mouse,100
73,squirrel,8
74,deer,8
74,mouse,100
74,squirrel,8
75,deer,8
75,mouse,100
75,squirrel,8
76,deer,8
76,mouse,100
76,squirrel,8
77,deer,8
77,mouse,100
77,squirrel,8
78,deer,8
78,mouse,100
78,squirrel,8
79,deer,8
79,mouse,100
79,squirrel,8
80,deer,8
80,mouse,100
80,squirrel,8
81,deer,8
81,mouse,100
81,squirrel,8
82,deer,8
82,mouse,100
82,squirrel,8
83,deer,8
83,mouse,100
83,squirrel,8
84,deer,8
84,mouse,100
84,squirrel,8
85,deer,8
85,mouse,100
85,squirrel,8
86,deer,8
86,mouse,100
86,squirrel,8
