from, to, transition_fun, delay, source, pred1, pred2
__e, h_l, expo_fun, TRUE, Ogden et al. 2004, temp, NA
__e, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
eil, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
eul, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
eil, qin, expo_fun, TRUE, Ogden et al. 2005, temp, NA
eul, qun, expo_fun, TRUE, Ogden et al. 2005, temp, NA
ein, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
eun, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
ein, qia, expo_fun, TRUE, Ogden et al. 2005, temp, NA
eun, qua, expo_fun, TRUE, Ogden et al. 2005, temp, NA
a_l, f_l, constant_fun, TRUE, Ogden et al. 2005, NA, NA
ain, fin, constant_fun, TRUE, Ogden et al. 2005, NA, NA
aun, fun, constant_fun, TRUE, Ogden et al. 2005, NA, NA
h_l, q_l, constant_fun, TRUE, Daniels et al. 1996, NA, NA
h_l, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
q_l, m, constant_fun, FALSE, Ogden et al. 2005, NA, NA
eua, rua, expo_fun, TRUE, Ogden et al. 2004, temp, NA
eia, ria, expo_fun, TRUE, Ogden et al. 2004, temp, NA
rua, __e, constant_fun, FALSE, Ogden et al. 2004, NA, NA
ria, __e, constant_fun, FALSE, Ogden et al. 2004, NA, NA
eua, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
eia, m, constant_fun, TRUE, Ogden et al. 2005, NA, NA
aia, fia, constant_fun, TRUE, Ogden et al. 2005, NA, NA
aua, fua, constant_fun, TRUE, Ogden et al. 2005, NA, NA
qia, m, constant_fun, FALSE, Ogden et al. 2005, NA, NA
qin, m, constant_fun, FALSE, Ogden et al. 2005, NA, NA
qua, m, constant_fun, FALSE, Ogden et al. 2005, NA, NA
qun, m, constant_fun, FALSE, Ogden et al. 2005, NA, NA
q_l, a_l, feed_fun, FALSE, Dave theory, host_den, temp
qun, aun, feed_fun, FALSE, Dave theory, host_den, temp
qin, ain, feed_fun, FALSE, Dave theory, host_den, temp
qua, aua, feed_fun, FALSE, Dave theory, host_den, temp
qia, aia, feed_fun, FALSE, Dave theory, host_den, temp
f_l, eul, infect_fun, FALSE, NA, host_den, NA
f_l, eil, infect_fun, FALSE, NA, host_den, NA
fun, eun, infect_fun, FALSE, NA, host_den, NA
fun, ein, infect_fun, FALSE, NA, host_den, NA
fin, ein, infect_fun, FALSE, NA, host_den, NA
fua, eua, infect_fun, FALSE, NA, host_den, NA
fua, eia, infect_fun, FALSE, NA, host_den, NA
fia, eia, infect_fun, FALSE, NA, host_den, NA
a_l, per_capita_m, density_fun, TRUE, Ogden et al. 2005, host_den, [af]..
ain, per_capita_m, density_fun, TRUE, Ogden et al. 2005, host_den, [af]..
aun, per_capita_m, density_fun, TRUE, Ogden et al. 2005, host_den, [af]..
aia, per_capita_m, density_fun, TRUE, Ogden et al. 2005, host_den, [af]..
aua, per_capita_m, density_fun, TRUE, Ogden et al. 2005, host_den, [af]..
