day,stage,pop,age_group,process,infected
1,__e,0,e,_,FALSE
1,eil,0,l,e,TRUE
1,eul,0,l,e,FALSE
1,d_l,0,l,d,FALSE
1,f_l,0,l,f,FALSE
1,ein,0,n,e,TRUE
1,eun,0,n,e,FALSE
1,din,0,n,d,TRUE
1,dun,0,n,d,FALSE
1,fin,0,n,f,TRUE
1,fun,0,n,f,FALSE
1,h_l,0,l,h,FALSE
1,q_l,0,l,q,FALSE
1,eua,10,a,e,FALSE
1,eia,0,a,e,TRUE
1,fia,0,a,f,TRUE
1,fua,0,a,f,FALSE
1,dia,0,a,d,TRUE
1,dua,0,a,d,FALSE
1,qia,0,a,q,TRUE
1,qin,0,n,q,TRUE
1,qua,0,a,q,FALSE
1,qun,0,n,q,FALSE
2,__e,0,e,_,FALSE
2,eil,0,l,e,TRUE
2,eul,0,l,e,FALSE
2,d_l,0,l,d,FALSE
2,f_l,0,l,f,FALSE
2,ein,0,n,e,TRUE
2,eun,0,n,e,FALSE
2,din,0,n,d,TRUE
2,dun,0,n,d,FALSE
2,fin,0,n,f,TRUE
2,fun,0,n,f,FALSE
2,h_l,0,l,h,FALSE
2,q_l,0,l,q,FALSE
2,eua,29943.05127094163,a,e,FALSE
2,eia,0,a,e,TRUE
2,fia,0,a,f,TRUE
2,fua,0,a,f,FALSE
2,dia,0,a,d,TRUE
2,dua,0,a,d,FALSE
2,qia,0,a,q,TRUE
2,qin,0,n,q,TRUE
2,qua,0,a,q,FALSE
2,qun,0,n,q,FALSE
3,__e,0,e,_,FALSE
3,eil,0,l,e,TRUE
3,eul,0,l,e,FALSE
3,d_l,0,l,d,FALSE
3,f_l,0,l,f,FALSE
3,ein,0,n,e,TRUE
3,eun,0,n,e,FALSE
3,din,0,n,d,TRUE
3,dun,0,n,d,FALSE
3,fin,0,n,f,TRUE
3,fun,0,n,f,FALSE
3,h_l,0,l,h,FALSE
3,q_l,0,l,q,FALSE
3,eua,29943.05127094163,a,e,FALSE
3,eia,0,a,e,TRUE
3,fia,0,a,f,TRUE
3,fua,0,a,f,FALSE
3,dia,0,a,d,TRUE
3,dua,0,a,d,FALSE
3,qia,0,a,q,TRUE
3,qin,0,n,q,TRUE
3,qua,0,a,q,FALSE
3,qun,0,n,q,FALSE
4,__e,0,e,_,FALSE
4,eil,0,l,e,TRUE
4,eul,0,l,e,FALSE
4,d_l,0,l,d,FALSE
4,f_l,0,l,f,FALSE
4,ein,0,n,e,TRUE
4,eun,0,n,e,FALSE
4,din,0,n,d,TRUE
4,dun,0,n,d,FALSE
4,fin,0,n,f,TRUE
4,fun,0,n,f,FALSE
4,h_l,0,l,h,FALSE
4,q_l,0,l,q,FALSE
4,eua,29943.05127094163,a,e,FALSE
4,eia,0,a,e,TRUE
4,fia,0,a,f,TRUE
4,fua,0,a,f,FALSE
4,dia,0,a,d,TRUE
4,dua,0,a,d,FALSE
4,qia,0,a,q,TRUE
4,qin,0,n,q,TRUE
4,qua,0,a,q,FALSE
4,qun,0,n,q,FALSE
5,__e,0,e,_,FALSE
5,eil,0,l,e,TRUE
5,eul,0,l,e,FALSE
5,d_l,0,l,d,FALSE
5,f_l,0,l,f,FALSE
5,ein,0,n,e,TRUE
5,eun,0,n,e,FALSE
5,din,0,n,d,TRUE
5,dun,0,n,d,FALSE
5,fin,0,n,f,TRUE
5,fun,0,n,f,FALSE
5,h_l,0,l,h,FALSE
5,q_l,0,l,q,FALSE
5,eua,29943.05127094163,a,e,FALSE
5,eia,0,a,e,TRUE
5,fia,0,a,f,TRUE
5,fua,0,a,f,FALSE
5,dia,0,a,d,TRUE
5,dua,0,a,d,FALSE
5,qia,0,a,q,TRUE
5,qin,0,n,q,TRUE
5,qua,0,a,q,FALSE
5,qun,0,n,q,FALSE
6,__e,0,e,_,FALSE
6,eil,0,l,e,TRUE
6,eul,0,l,e,FALSE
6,d_l,0,l,d,FALSE
6,f_l,0,l,f,FALSE
6,ein,0,n,e,TRUE
6,eun,0,n,e,FALSE
6,din,0,n,d,TRUE
6,dun,0,n,d,FALSE
6,fin,0,n,f,TRUE
6,fun,0,n,f,FALSE
6,h_l,0,l,h,FALSE
6,q_l,0,l,q,FALSE
6,eua,29943.05127094163,a,e,FALSE
6,eia,0,a,e,TRUE
6,fia,0,a,f,TRUE
6,fua,0,a,f,FALSE
6,dia,0,a,d,TRUE
6,dua,0,a,d,FALSE
6,qia,0,a,q,TRUE
