from, to, transition_fun, delay, source, pred1, pred2
__e, h_l, expo_fun, 1, Ogden et al. 2004, temp, NA
__e, m, constant_fun, 1, Ogden et al. 2005, NA, NA
eil, m, constant_fun, 1, Ogden et al. 2005, NA, NA
eul, m, constant_fun, 1, Ogden et al. 2005, NA, NA
eil, qin, expo_fun, 1, Ogden et al. 2005, temp, NA
eul, qun, expo_fun, 1, Ogden et al. 2005, temp, NA
ein, m, constant_fun, 1, Ogden et al. 2005, NA, NA
eun, m, constant_fun, 1, Ogden et al. 2005, NA, NA
ein, qia, expo_fun, 1, Ogden et al. 2005, temp, NA
eun, qua, expo_fun, 1, Ogden et al. 2005, temp, NA
a_l, f_l, constant_fun, 1, Ogden et al. 2005, NA, NA
ain, fin, constant_fun, 1, Ogden et al. 2005, NA, NA
aun, fun, constant_fun, 1, Ogden et al. 2005, NA, NA
h_l, q_l, constant_fun, 1, Daniels et al. 1996, NA, NA
h_l, m, constant_fun, 1, Ogden et al. 2005, NA, NA
q_l, m, constant_fun, 0, Ogden et al. 2005, NA, NA
eua, rua, expo_fun, 1, Ogden et al. 2004, temp, NA
eia, ria, expo_fun, 1, Ogden et al. 2004, temp, NA
rua, __e, constant_fun, 0, Ogden et al. 2004, NA, NA
ria, __e, constant_fun, 0, Ogden et al. 2004, NA, NA
eua, m, constant_fun, 1, Ogden et al. 2005, NA, NA
eia, m, constant_fun, 1, Ogden et al. 2005, NA, NA
aia, fia, constant_fun, 1, Ogden et al. 2005, NA, NA
aua, fua, constant_fun, 1, Ogden et al. 2005, NA, NA
qia, m, constant_fun, 0, Ogden et al. 2005, NA, NA
qin, m, constant_fun, 0, Ogden et al. 2005, NA, NA
qua, m, constant_fun, 0, Ogden et al. 2005, NA, NA
qun, m, constant_fun, 0, Ogden et al. 2005, NA, NA
q_l, a_l, feed_fun, 0, Dave theory, host_den, temp
qun, aun, feed_fun, 0, Dave theory, host_den, temp
qin, ain, feed_fun, 0, Dave theory, host_den, temp
qua, aua, feed_fun, 0, Dave theory, host_den, temp
qia, aia, feed_fun, 0, Dave theory, host_den, temp
f_l, eul, engorge_fun, 0, NA, host_den, NA
f_l, eil, engorge_fun, 0, NA, host_den, NA
fun, eun, engorge_fun, 0, NA, host_den, NA
fun, ein, engorge_fun, 0, NA, host_den, NA
fin, ein, engorge_fun, 0, NA, host_den, NA
fua, eua, engorge_fun, 0, NA, host_den, NA
fua, eia, engorge_fun, 0, NA, host_den, NA
fia, eia, engorge_fun, 0, NA, host_den, NA
a_l, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
ain, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
aun, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
aia, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
aua, per_capita_m, density_fun, 1, Ogden et al. 2005, host_den, [af]..
