day,stage,pop,age_group,process,infected
1,__e,0,e,_,FALSE
1,e_l,0,l,e,FALSE
1,e_n,0,n,e,FALSE
1,a_l,0,l,a,FALSE
1,a_n,0,n,a,FALSE
1,h_l,0,l,h,FALSE
1,q_l,0,l,q,FALSE
1,e_a,0,a,e,FALSE
1,r_a,0,a,r,FALSE
1,a_a,0,a,a,FALSE
1,q_a,10000,a,q,FALSE
1,q_n,0,n,q,FALSE
2,__e,0,e,_,FALSE
2,e_l,0,l,e,FALSE
2,e_n,0,n,e,FALSE
2,a_l,0,l,a,FALSE
2,a_n,0,n,a,FALSE
2,h_l,0,l,h,FALSE
2,q_l,0,l,q,FALSE
2,e_a,0,a,e,FALSE
2,r_a,0,a,r,FALSE
2,a_a,0,a,a,FALSE
2,q_a,9940,a,q,FALSE
2,q_n,0,n,q,FALSE
3,__e,0,e,_,FALSE
3,e_l,0,l,e,FALSE
3,e_n,0,n,e,FALSE
3,a_l,0,l,a,FALSE
3,a_n,0,n,a,FALSE
3,h_l,0,l,h,FALSE
3,q_l,0,l,q,FALSE
3,e_a,0,a,e,FALSE
3,r_a,0,a,r,FALSE
3,a_a,0,a,a,FALSE
3,q_a,9880.36,a,q,FALSE
3,q_n,0,n,q,FALSE
4,__e,0,e,_,FALSE
4,e_l,0,l,e,FALSE
4,e_n,0,n,e,FALSE
4,a_l,0,l,a,FALSE
4,a_n,0,n,a,FALSE
4,h_l,0,l,h,FALSE
4,q_l,0,l,q,FALSE
4,e_a,0,a,e,FALSE
4,r_a,0,a,r,FALSE
4,a_a,0,a,a,FALSE
4,q_a,9821.07784,a,q,FALSE
4,q_n,0,n,q,FALSE
5,__e,0,e,_,FALSE
5,e_l,0,l,e,FALSE
5,e_n,0,n,e,FALSE
5,a_l,0,l,a,FALSE
5,a_n,0,n,a,FALSE
5,h_l,0,l,h,FALSE
5,q_l,0,l,q,FALSE
5,e_a,0,a,e,FALSE
5,r_a,0,a,r,FALSE
5,a_a,0,a,a,FALSE
5,q_a,9762.15137296,a,q,FALSE
5,q_n,0,n,q,FALSE
6,__e,0,e,_,FALSE
6,e_l,0,l,e,FALSE
6,e_n,0,n,e,FALSE
6,a_l,0,l,a,FALSE
6,a_n,0,n,a,FALSE
6,h_l,0,l,h,FALSE
6,q_l,0,l,q,FALSE
6,e_a,0,a,e,FALSE
6,r_a,0,a,r,FALSE
6,a_a,0,a,a,FALSE
6,q_a,9703.578464722239,a,q,FALSE
6,q_n,0,n,q,FALSE
7,__e,0,e,_,FALSE
7,e_l,0,l,e,FALSE
7,e_n,0,n,e,FALSE
7,a_l,0,l,a,FALSE
7,a_n,0,n,a,FALSE
7,h_l,0,l,h,FALSE
7,q_l,0,l,q,FALSE
7,e_a,0,a,e,FALSE
7,r_a,0,a,r,FALSE
7,a_a,0,a,a,FALSE
7,q_a,9645.356993933905,a,q,FALSE
7,q_n,0,n,q,FALSE
8,__e,0,e,_,FALSE
8,e_l,0,l,e,FALSE
8,e_n,0,n,e,FALSE
8,a_l,0,l,a,FALSE
8,a_n,0,n,a,FALSE
8,h_l,0,l,h,FALSE
8,q_l,0,l,q,FALSE
8,e_a,0,a,e,FALSE
8,r_a,0,a,r,FALSE
