tmean,j_day
-0,1
-0,2
-0,3
-0,4
-0,5
-0,6
-0,7
-0,8
-0,9
-0,10
-0,11
-0,12
-0,13
-0,14
-0,15
-0,16
-0,17
-0,18
-0,19
-0,20
-0,21
-0,22
-0,23
-0,24
-0,25
-0,26
-0,27
-0,28
-0,29
-0,30
-0,31
-0,32
-0,33
-0,34
-0,35
-0,36
-0,37
-0,38
-0,39
-0,40
-0,41
-0,42
-0,43
-0,44
-0,45
-0,46
-0,47
-0,48
-0,49
-0,50
-0,51
-0,52
-0,53
-0,54
-0,55
-0,56
-0,57
-0,58
-0,59
0.26,60
0.26,61
0.26,62
0.26,63
0.26,64
0.26,65
0.26,66
0.26,67
0.26,68
0.26,69
0.26,70
0.26,71
0.26,72
0.26,73
0.26,74
0.26,75
0.26,76
0.26,77
0.26,78
0.26,79
0.26,80
0.26,81
0.26,82
0.26,83
0.26,84
0.26,85
0.26,86
0.26,87
0.26,88
0.26,89
0.26,90
6.23,91
6.23,92
6.23,93
6.23,94
6.23,95
6.23,96
6.23,97
6.23,98
6.23,99
6.23,100
6.23,101
6.23,102
6.23,103
6.23,104
6.23,105
6.23,106
6.23,107
6.23,108
6.23,109
6.23,110
6.23,111
6.23,112
6.23,113
6.23,114
6.23,115
6.23,116
6.23,117
6.23,118
6.23,119
6.23,120
12.54,121
12.54,122
12.54,123
12.54,124
12.54,125
12.54,126
12.54,127
12.54,128
12.54,129
12.54,130
12.54,131
12.54,132
12.54,133
12.54,134
12.54,135
12.54,136
12.54,137
12.54,138
12.54,139
12.54,140
12.54,141
12.54,142
12.54,143
12.54,144
12.54,145
12.54,146
12.54,147
12.54,148
12.54,149
12.54,150
12.54,151
17.72,152
17.72,153
17.72,154
17.72,155
17.72,156
17.72,157
17.72,158
17.72,159
17.72,160
17.72,161
17.72,162
17.72,163
17.72,164
17.72,165
17.72,166
17.72,167
17.72,168
17.72,169
17.72,170
17.72,171
17.72,172
17.72,173
17.72,174
17.72,175
17.72,176
17.72,177
17.72,178
17.72,179
17.72,180
17.72,181
20.79,182
20.79,183
20.79,184
20.79,185
20.79,186
20.79,187
20.79,188
20.79,189
20.79,190
20.79,191
20.79,192
20.79,193
20.79,194
20.79,195
20.79,196
20.79,197
20.79,198
20.79,199
20.79,200
20.79,201
20.79,202
20.79,203
20.79,204
20.79,205
20.79,206
20.79,207
20.79,208
20.79,209
20.79,210
20.79,211
20.79,212
20.09,213
20.09,214
20.09,215
20.09,216
20.09,217
20.09,218
20.09,219
20.09,220
20.09,221
20.09,222
20.09,223
20.09,224
20.09,225
20.09,226
20.09,227
20.09,228
20.09,229
20.09,230
20.09,231
20.09,232
20.09,233
20.09,234
20.09,235
20.09,236
20.09,237
20.09,238
20.09,239
20.09,240
20.09,241
20.09,242
20.09,243
16.23,244
16.23,245
16.23,246
16.23,247
16.23,248
16.23,249
16.23,250
16.23,251
16.23,252
16.23,253
16.23,254
16.23,255
16.23,256
16.23,257
16.23,258
16.23,259
16.23,260
16.23,261
16.23,262
16.23,263
16.23,264
16.23,265
16.23,266
16.23,267
16.23,268
16.23,269
16.23,270
16.23,271
16.23,272
16.23,273
9.82,274
9.82,275
9.82,276
9.82,277
9.82,278
9.82,279
9.82,280
9.82,281
9.82,282
9.82,283
9.82,284
9.82,285
9.82,286
9.82,287
9.82,288
9.82,289
9.82,290
9.82,291
9.82,292
9.82,293
9.82,294
9.82,295
9.82,296
9.82,297
9.82,298
9.82,299
9.82,300
9.82,301
9.82,302
9.82,303
9.82,304
4.21,305
4.21,306
4.21,307
4.21,308
4.21,309
4.21,310
4.21,311
4.21,312
4.21,313
4.21,314
4.21,315
4.21,316
4.21,317
4.21,318
4.21,319
4.21,320
4.21,321
4.21,322
4.21,323
4.21,324
4.21,325
4.21,326
4.21,327
4.21,328
4.21,329
4.21,330
4.21,331
4.21,332
4.21,333
4.21,334
-0,335
-0,336
-0,337
-0,338
-0,339
-0,340
-0,341
-0,342
-0,343
-0,344
-0,345
-0,346
-0,347
-0,348
-0,349
-0,350
-0,351
-0,352
-0,353
-0,354
-0,355
-0,356
-0,357
-0,358
-0,359
-0,360
-0,361
-0,362
-0,363
-0,364
-0,365
-0,366
-0,367
-0,368
-0,369
-0,370
-0,371
-0,372
-0,373
-0,374
-0,375
-0,376
-0,377
-0,378
-0,379
-0,380
-0,381
-0,382
-0,383
-0,384
-0,385
-0,386
-0,387
-0,388
-0,389
-0,390
-0,391
-0,392
-0,393
-0,394
-0,395
-0,396
-0,397
-0,398
-0,399
-0,400
-0,401
-0,402
-0,403
-0,404
-0,405
-0,406
-0,407
-0,408
-0,409
-0,410
-0,411
-0,412
-0,413
-0,414
-0,415
-0,416
-0,417
-0,418
-0,419
-0,420
-0,421
-0,422
-0,423
-0,424
0.26,425
0.26,426
0.26,427
0.26,428
0.26,429
0.26,430
0.26,431
0.26,432
0.26,433
0.26,434
0.26,435
0.26,436
0.26,437
0.26,438
0.26,439
0.26,440
0.26,441
0.26,442
0.26,443
0.26,444
0.26,445
0.26,446
0.26,447
0.26,448
0.26,449
0.26,450
0.26,451
0.26,452
0.26,453
0.26,454
0.26,455
6.23,456
6.23,457
6.23,458
6.23,459
6.23,460
6.23,461
6.23,462
6.23,463
6.23,464
6.23,465
6.23,466
6.23,467
6.23,468
6.23,469
6.23,470
6.23,471
6.23,472
6.23,473
6.23,474
6.23,475
6.23,476
6.23,477
6.23,478
6.23,479
6.23,480
6.23,481
6.23,482
6.23,483
6.23,484
6.23,485
12.54,486
12.54,487
12.54,488
12.54,489
12.54,490
12.54,491
12.54,492
12.54,493
12.54,494
12.54,495
12.54,496
12.54,497
12.54,498
12.54,499
12.54,500
12.54,501
12.54,502
12.54,503
12.54,504
12.54,505
12.54,506
12.54,507
12.54,508
12.54,509
12.54,510
12.54,511
12.54,512
12.54,513
12.54,514
12.54,515
12.54,516
17.72,517
17.72,518
17.72,519
17.72,520
17.72,521
17.72,522
17.72,523
17.72,524
17.72,525
17.72,526
17.72,527
17.72,528
17.72,529
17.72,530
17.72,531
17.72,532
17.72,533
17.72,534
17.72,535
17.72,536
17.72,537
17.72,538
17.72,539
17.72,540
17.72,541
17.72,542
17.72,543
17.72,544
17.72,545
17.72,546
20.79,547
20.79,548
20.79,549
20.79,550
20.79,551
20.79,552
20.79,553
20.79,554
20.79,555
20.79,556
20.79,557
20.79,558
20.79,559
20.79,560
20.79,561
20.79,562
20.79,563
20.79,564
20.79,565
20.79,566
20.79,567
20.79,568
20.79,569
20.79,570
20.79,571
20.79,572
20.79,573
20.79,574
20.79,575
20.79,576
20.79,577
20.09,578
20.09,579
20.09,580
20.09,581
20.09,582
20.09,583
20.09,584
20.09,585
20.09,586
20.09,587
20.09,588
20.09,589
20.09,590
20.09,591
20.09,592
20.09,593
20.09,594
20.09,595
20.09,596
20.09,597
20.09,598
20.09,599
20.09,600
20.09,601
20.09,602
20.09,603
20.09,604
20.09,605
20.09,606
20.09,607
20.09,608
